,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2012-05-22,74.35,74.35,74.35,74.35,54.1822,200,0.0,1.0
2012-05-23,72.75,72.75,72.75,72.75,53.0162,200,0.0,1.0
2012-05-24,72.75,72.75,72.75,72.75,53.0162,0,0.0,1.0
2012-05-25,72.75,72.75,72.75,72.75,53.0162,0,0.0,1.0
2012-05-29,72.75,72.75,72.75,72.75,53.0162,0,0.0,1.0
2012-05-30,72.75,72.75,72.75,72.75,53.0162,0,0.0,1.0
2012-05-31,72.75,72.75,72.75,72.75,53.0162,0,0.0,1.0
2012-06-01,72.75,72.75,72.75,72.75,53.0162,0,0.0,1.0
2012-06-04,72.75,72.75,72.75,72.75,53.0162,0,0.0,1.0
2012-06-05,72.75,72.75,72.75,72.75,53.0162,0,0.0,1.0
2012-06-06,74.05,74.55,74.05,74.55,54.3279,400,0.0,1.0
2012-06-07,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-06-08,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-06-11,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-06-12,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-06-13,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-06-14,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-06-15,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-06-18,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-06-19,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-06-20,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-06-21,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-06-22,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-06-25,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-06-26,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-06-27,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-06-28,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-06-29,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-07-02,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-07-03,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-07-05,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-07-06,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-07-09,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-07-10,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-07-11,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-07-12,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-07-13,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-07-16,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-07-17,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-07-18,74.05,74.55,74.05,74.55,54.3279,0,0.0,1.0
2012-07-19,80.25,80.25,80.25,80.25,58.4818,200,0.0,1.0
2012-07-20,80.25,80.25,80.25,80.25,58.4818,0,0.0,1.0
2012-07-23,80.25,80.25,80.25,80.25,58.4818,0,0.0,1.0
2012-07-24,80.25,80.25,80.25,80.25,58.4818,0,0.0,1.0
2012-07-25,79.48,79.48,79.48,79.48,57.9206,200,0.0,1.0
2012-07-26,79.48,79.48,79.48,79.48,57.9206,0,0.0,1.0
