,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,112.37,113.39,111.51,113.33,93.6558,118857369,0.0,1.0
2010-01-05,113.26,113.68,112.85,113.63,93.9037,111519230,0.0,1.0
2010-01-06,113.52,113.99,113.43,113.71,93.9698,116017127,0.0,1.0
2010-01-07,113.5,114.33,113.18,114.19,94.3665,130502017,0.0,1.0
2010-01-08,113.89,114.62,113.66,114.57,94.6805,126357911,0.0,1.0
2010-01-11,115.08,115.13,114.24,114.73,94.8127,105905179,0.0,1.0
2010-01-12,113.97,114.21,113.22,113.66,93.9285,166498092,0.0,1.0
2010-01-13,113.95,114.94,113.37,114.62,94.7218,161730350,0.0,1.0
2010-01-14,114.49,115.14,114.42,114.93,94.978,115646960,0.0,1.0
2010-01-15,114.73,114.84,113.2,113.64,93.912,212252769,0.0,1.0
2010-01-19,113.62,115.13,113.59,115.06,95.0854,138671890,0.0,1.0
2010-01-20,114.28,114.45,112.98,113.89,94.1186,216330645,0.0,1.0
2010-01-21,113.92,114.27,111.56,111.7,92.3087,344747028,0.0,1.0
2010-01-22,111.2,111.74,109.09,109.21,90.251,345627282,0.0,1.0
2010-01-25,110.21,110.41,109.41,109.77,90.7138,186751367,0.0,1.0
2010-01-26,109.34,110.47,109.04,109.31,90.3337,210788669,0.0,1.0
2010-01-27,109.17,110.08,108.33,109.83,90.7634,271482263,0.0,1.0
2010-01-28,110.19,110.25,107.91,108.57,89.7221,315523641,0.0,1.0
2010-01-29,109.04,109.8,107.22,107.39,88.747,310523229,0.0,1.0
2010-02-01,108.15,109.07,107.5,109.06,90.1271,187376305,0.0,1.0
2010-02-02,109.26,110.59,108.88,110.38,91.2179,216202000,0.0,1.0
2010-02-03,109.88,110.48,109.51,109.83,90.7634,172541928,0.0,1.0
2010-02-04,108.98,109.03,106.42,106.44,87.9619,356204273,0.0,1.0
2010-02-05,106.56,106.88,104.58,106.66,88.1437,493483874,0.0,1.0
2010-02-08,106.74,107.33,105.81,105.89,87.5074,223943088,0.0,1.0
2010-02-09,107.13,108.15,106.27,107.22,88.6065,337698759,0.0,1.0
2010-02-10,107.05,107.6,106.11,107.01,88.4329,240337447,0.0,1.0
2010-02-11,106.87,108.25,106.25,108.13,89.3585,223348428,0.0,1.0
2010-02-12,106.99,108.1,106.51,108.04,89.2841,304335521,0.0,1.0
2010-02-16,108.86,109.85,107.82,109.74,90.689,159025359,0.0,1.0
2010-02-17,110.27,110.41,109.74,110.26,91.1187,168609976,0.0,1.0
2010-02-18,110.08,111.14,110.04,110.91,91.6559,192806015,0.0,1.0
2010-02-19,110.62,111.57,110.36,111.14,91.846,215567204,0.0,1.0
2010-02-22,111.55,111.58,110.83,111.16,91.8625,132148949,0.0,1.0
2010-02-23,110.86,111.2,109.52,109.81,90.7469,206922860,0.0,1.0
2010-02-24,110.14,111.0,109.86,110.82,91.5815,176170766,0.0,1.0
2010-02-25,109.24,110.75,108.94,110.67,91.4576,259023227,0.0,1.0
2010-02-26,110.77,111.12,110.11,110.74,91.5154,173425228,0.0,1.0
2010-03-01,111.2,112.0,111.17,111.89,92.4658,147507319,0.0,1.0
2010-03-02,112.37,112.74,112.0,112.2,92.7219,160920705,0.0,1.0
2010-03-03,112.49,112.97,112.02,112.3,92.8046,150552463,0.0,1.0
2010-03-04,112.45,112.8,112.03,112.64,93.0856,135526954,0.0,1.0
2010-03-05,113.37,114.34,113.1,114.25,94.4161,176047042,0.0,1.0
2010-03-08,114.26,114.52,114.07,114.27,94.4326,114525089,0.0,1.0
2010-03-09,113.93,114.99,113.87,114.46,94.5896,154378793,0.0,1.0
2010-03-10,114.51,115.28,114.41,114.97,95.0111,185854165,0.0,1.0
2010-03-11,114.7,115.48,114.35,115.45,95.4077,160381449,0.0,1.0
2010-03-12,115.95,115.97,115.14,115.46,95.416,161925254,0.0,1.0
2010-03-15,115.26,115.57,114.6,115.49,95.4408,146532076,0.0,1.0
2010-03-16,115.81,116.52,115.49,116.41,96.2011,168561421,0.0,1.0
2010-03-17,116.76,117.48,116.42,117.1,96.7713,177203017,0.0,1.0
2010-03-18,117.11,117.27,116.57,117.04,96.7217,170817,0.0,1.0
2010-03-19,115.97,117.29,115.52,115.97,96.2345,226519190,0.4804,1.0
2010-03-22,115.31,116.8,115.24,116.59,96.7489,184083906,0.0,1.0
2010-03-23,116.76,117.51,116.38,117.41,97.4294,182625254,0.0,1.0
