,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,17.9,17.9,17.3499,17.62,1737.3218,311049,0.0,1.0
2010-01-05,17.6,17.91,17.37,17.66,1741.2658,174245,0.0,1.0
2010-01-06,17.63,17.82,17.48,17.69,1744.2238,216627,0.0,1.0
2010-01-07,17.6,18.3,17.6,18.02,1776.7616,343579,0.0,1.0
2010-01-08,18.12,18.2,17.5,17.54,1729.4339,276293,0.0,1.0
2010-01-11,17.29,17.847,17.21,17.54,1729.4339,199031,0.0,1.0
2010-01-12,17.9,18.92,17.82,18.59,1832.9633,273997,0.0,1.0
2010-01-13,18.48,19.0999,17.98,18.09,1783.6636,345013,0.0,1.0
2010-01-14,18.54,18.54,17.82,17.99,1773.8036,331865,0.0,1.0
2010-01-15,18.1,19.14,17.97,19.11,1884.235,374962,0.0,1.0
2010-01-19,19.42,19.42,18.46,18.57,1830.9913,356972,0.0,1.0
2010-01-20,18.67,19.04,18.58,18.6,1833.9493,226937,0.0,1.0
2010-01-21,18.71,19.15,18.06,18.88,1861.5571,412913,0.0,1.0
2010-01-22,19.1,20.8199,18.98,20.62,2033.1201,728483,0.0,1.0
2010-01-25,20.35,20.35,19.71,20.0152,1973.4872,306811,0.0,1.0
2010-01-26,20.41,20.4592,19.81,20.38,2009.4562,344268,0.0,1.0
2010-01-27,20.62,20.71,19.78,19.89,1961.1425,328364,0.0,1.0
2010-01-28,19.87,21.37,19.42,20.78,2048.896,734406,0.0,1.0
2010-01-29,20.56,22.51,20.25,22.16,2184.9632,595879,0.0,1.0
2010-02-01,22.12,22.12,20.96,21.11,2081.4338,324252,0.0,1.0
2010-02-02,21.0,21.11,20.33,20.52,2023.2602,407746,0.0,1.0
2010-02-03,20.51,20.96,20.34,20.57,2028.1901,216332,0.0,1.0
2010-02-04,21.0,22.28,20.97,22.19,2187.9212,464919,0.0,1.0
2010-02-05,22.29,22.47,21.12,21.23,2093.2658,325713,0.0,1.0
2010-02-08,21.15,21.69,20.53,21.38,2108.0557,394780,0.0,1.0
2010-02-09,20.68,21.27,20.39,20.84,2054.812,236937,0.0,1.0
2010-02-10,20.81,21.3,20.45,20.71,2041.9941,165113,0.0,1.0
2010-02-11,20.57,21.04,19.63,19.83,1955.2266,233150,0.0,1.0
2010-02-12,20.2,20.5,18.983,19.39,1911.8428,401647,0.0,1.0
2010-02-16,18.89,19.24,18.47,18.6,1833.9493,224174,0.0,1.0
2010-02-17,18.27,18.94,18.27,18.56,1830.0053,202891,0.0,1.0
2010-02-18,18.78,18.942,18.4,18.45,1819.1594,247155,0.0,1.0
2010-02-19,18.67,18.77,18.14,18.43,1817.1874,198156,0.0,1.0
2010-02-22,18.2,18.59,18.1,18.44,1818.1734,121121,0.0,1.0
2010-02-23,18.39,19.54,18.39,19.24,1897.0529,267980,0.0,1.0
2010-02-24,19.22,19.22,18.41,18.73,1846.7672,198414,0.0,1.0
2010-02-25,19.21,19.63,18.75,18.8,1853.6692,309853,0.0,1.0
2010-02-26,18.97,19.24,18.79,18.89,1862.5431,129796,0.0,1.0
2010-03-01,18.71,18.71,17.94,17.99,1773.8036,212898,0.0,1.0
2010-03-02,17.92,18.2695,17.63,18.11,1785.6356,140365,0.0,1.0
2010-03-03,18.08,18.5,17.86,18.37,1811.2714,144050,0.0,1.0
2010-03-04,18.39,18.8,18.24,18.35,1809.2994,178294,0.0,1.0
2010-03-05,18.12,18.4,17.75,17.9,1764.9297,201426,0.0,1.0
2010-03-08,17.77,17.99,17.72,17.94,1768.8736,122067,0.0,1.0
2010-03-09,18.0,18.19,17.54,17.89,1763.9437,278041,0.0,1.0
2010-03-10,17.9,17.9,17.14,17.32,1707.742,189560,0.0,1.0
2010-03-11,17.52,17.81,17.41,17.51,1726.4759,199997,0.0,1.0
2010-03-12,17.3,17.61,17.2601,17.53,1728.4479,98957,0.0,1.0
2010-03-15,17.68,18.0299,17.6,17.82,1757.0417,111770,0.0,1.0
2010-03-16,17.79,17.79,16.66,16.67,1643.6524,329949,0.0,1.0
2010-03-17,16.66,16.66,16.1378,16.23,1600.2686,211386,0.0,1.0
2010-03-18,16.4,16.71,16.19,16.45,1621.9605,214557,0.0,1.0
2010-03-19,16.45,17.13,16.43,16.89,1665.3443,376324,0.0,1.0
2010-03-22,17.16,17.22,16.23,16.24,1601.2546,218079,0.0,1.0
2010-03-23,16.2,16.2,15.59,15.65,1543.081,248993,0.0,1.0
2010-03-24,15.725,16.29,15.725,16.2,1597.3107,175756,0.0,1.0
2010-03-25,15.96,16.32,15.75,16.27,1604.2126,178856,0.0,1.0
2010-03-26,16.23,16.69,15.97,16.43,1619.9885,204954,0.0,1.0
