,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,28.41,28.61,28.275,28.58,16.71,29136600,0.0,1.0
2010-01-05,28.7,28.73,28.35,28.44,16.6281,35234500,0.0,1.0
2010-01-06,27.95,28.03,27.55,27.61,16.3884,37894600,0.42,1.0
2010-01-07,27.58,27.69,27.12,27.3,16.2044,33600300,0.0,1.0
2010-01-08,27.29,27.39,26.88,27.1,16.0857,27633400,0.0,1.0
2010-01-11,27.18,27.22,26.85,26.97,16.0085,25791200,0.0,1.0
2010-01-12,26.85,27.11,26.78,26.96,16.0026,26307800,0.0,1.0
2010-01-13,27.0,27.1,26.53,26.64,15.8127,42590900,0.0,1.0
2010-01-14,26.64,26.85,26.08,26.19,15.5456,42246100,0.0,1.0
2010-01-15,26.25,26.27,25.65,25.79,15.3081,64018300,0.0,1.0
2010-01-19,25.92,26.25,25.8,26.2,15.5515,33961700,0.0,1.0
2010-01-20,26.03,26.03,25.7,25.83,15.3319,39087000,0.0,1.0
2010-01-21,25.92,25.98,25.4,25.67,15.2369,40074900,0.0,1.0
2010-01-22,25.52,25.83,25.36,25.39,15.0707,38379700,0.0,1.0
2010-01-25,25.73,25.9,25.32,25.58,15.1835,29901500,0.0,1.0
2010-01-26,25.4,25.51,25.06,25.33,15.0351,34168600,0.0,1.0
2010-01-27,25.21,26.12,25.1,25.62,15.2072,58991800,0.0,1.0
2010-01-28,25.7,26.15,25.29,25.54,15.1597,52058900,0.0,1.0
2010-01-29,25.61,25.75,25.35,25.36,15.0529,38921000,0.0,1.0
2010-02-01,25.67,25.71,25.28,25.38,15.0648,36774400,0.0,1.0
2010-02-02,25.37,25.84,25.27,25.69,15.2488,31119800,0.0,1.0
2010-02-03,25.63,25.81,25.4,25.58,15.1835,22954100,0.0,1.0
2010-02-04,25.43,25.49,25.03,25.03,14.857,32334600,0.0,1.0
2010-02-05,25.12,25.31,24.96,25.24,14.9817,50883200,0.0,1.0
2010-02-08,25.19,25.27,24.96,24.98,14.8273,27173100,0.0,1.0
2010-02-09,25.18,25.42,25.05,25.26,14.9935,34939200,0.0,1.0
2010-02-10,25.23,25.25,25.01,25.12,14.9104,26649500,0.0,1.0
2010-02-11,25.05,25.38,24.83,25.19,14.952,27447000,0.0,1.0
2010-02-12,25.03,25.15,24.86,25.07,14.8808,34113100,0.0,1.0
2010-02-16,25.3,25.49,25.13,25.32,15.0291,25903700,0.0,1.0
2010-02-17,25.41,25.52,25.2,25.4,15.0766,19506300,0.0,1.0
2010-02-18,25.4,25.53,25.16,25.24,14.9817,27028500,0.0,1.0
2010-02-19,25.2,25.4,25.02,25.1,14.8986,34699600,0.0,1.0
2010-02-22,25.13,25.16,24.97,25.02,14.8511,31106800,0.0,1.0
2010-02-23,25.0,25.03,24.83,24.83,14.7383,28515800,0.0,1.0
2010-02-24,24.88,24.95,24.8,24.91,14.7858,28970800,0.0,1.0
2010-02-25,24.76,24.86,24.61,24.77,14.7027,29583200,0.0,1.0
2010-02-26,24.86,24.91,24.71,24.81,14.7264,29183900,0.0,1.0
2010-03-01,24.91,25.07,24.83,25.0,14.8392,24906000,0.0,1.0
2010-03-02,25.0,25.06,24.71,24.88,14.768,33402000,0.0,1.0
2010-03-03,25.03,25.03,24.81,24.89,14.7739,20695100,0.0,1.0
2010-03-04,24.89,25.0,24.8,24.96,14.8155,28731200,0.0,1.0
2010-03-05,25.03,25.05,24.82,24.99,14.8333,27959100,0.0,1.0
2010-03-08,25.05,25.36,24.9,25.28,15.0054,24682700,0.0,1.0
2010-03-09,25.34,25.73,25.3,25.56,15.1716,43463200,0.0,1.0
2010-03-10,25.61,25.715,25.37,25.52,15.1479,23535700,0.0,1.0
2010-03-11,25.42,25.6,25.3,25.6,15.1953,21760600,0.0,1.0
2010-03-12,25.69,25.73,25.41,25.62,15.2072,17818100,0.0,1.0
2010-03-15,25.68,25.8,25.5595,25.78,15.3022,20320300,0.0,1.0
2010-03-16,25.86,25.99,25.71,25.85,15.3437,17620400,0.0,1.0
2010-03-17,25.95,25.99,25.85,25.9,15.3734,18104200,0.0,1.0
2010-03-18,25.96,26.09,25.9,26.06,15.4684,17009600,0.0,1.0
2010-03-19,26.19,26.31,25.99,26.24,15.5752,35866700,0.0,1.0
2010-03-22,26.19,26.54,26.08,26.4,15.6702,24538400,0.0,1.0
2010-03-23,26.48,26.57,26.33,26.55,15.7592,18136300,0.0,1.0
2010-03-24,26.42,26.5,26.12,26.26,15.5871,20422000,0.0,1.0
2010-03-25,26.43,26.44,26.11,26.15,15.5218,24093000,0.0,1.0
2010-03-26,26.17,26.5,26.11,26.24,15.5752,18059800,0.0,1.0
2010-03-29,26.35,26.57,26.3,26.51,15.7355,20319800,0.0,1.0
2010-03-30,26.23,26.33,25.84,25.95,15.4031,52251000,0.0,1.0
2010-03-31,25.9,26.04,25.75,25.84,15.3378,36706500,0.0,1.0
2010-04-01,26.05,26.21,25.91,26.11,15.4981,20557700,0.0,1.0
2010-04-05,26.3,26.36,26.13,26.31,15.6168,23973200,0.0,1.0
2010-04-06,26.27,26.36,26.15,26.31,15.6168,21369600,0.0,1.0
2010-04-07,26.0,26.03,25.48,25.65,15.4743,31369800,0.42,1.0
2010-04-08,25.61,26.06,25.6,26.02,15.6975,36555700,0.0,1.0
2010-04-09,26.11,26.51,26.06,26.44,15.9509,39742000,0.0,1.0
2010-04-12,26.57,26.67,26.34,26.38,15.9147,22939700,0.0,1.0
2010-04-13,26.32,26.43,26.02,26.2,15.8061,38015700,0.0,1.0
2010-04-14,26.17,26.24,26.015,26.24,15.8303,27712000,0.0,1.0
2010-04-15,26.16,26.3,26.04,26.24,15.8303,27991400,0.0,1.0
2010-04-16,26.2,26.35,25.91,25.93,15.6432,31981500,0.0,1.0
2010-04-19,26.09,26.45,25.95,26.38,15.9147,33300300,0.0,1.0
2010-04-20,26.42,26.74,26.36,26.66,16.0836,34479700,0.0,1.0
2010-04-21,26.74,26.75,26.14,26.34,15.8906,44749800,0.0,1.0
2010-04-22,26.09,26.31,25.79,26.27,15.8484,32944900,0.0,1.0
2010-04-23,26.17,26.29,25.99,26.25,15.8363,28020900,0.0,1.0
2010-04-26,26.23,26.415,26.21,26.27,15.8484,17780000,0.0,1.0
2010-04-27,26.2,26.31,25.88,25.95,15.6553,33871100,0.0,1.0
2010-04-28,26.0,26.1,25.63,25.91,15.6312,34156700,0.0,1.0
2010-04-29,26.08,26.3,25.94,26.14,15.7699,25633000,0.0,1.0
2010-04-30,26.21,26.5,26.05,26.06,15.7217,33741000,0.0,1.0
2010-05-03,26.24,26.43,26.07,26.28,15.8544,27076400,0.0,1.0
2010-05-04,26.32,26.43,25.75,25.9,15.6251,31360000,0.0,1.0
2010-05-05,25.9,26.138,25.74,25.77,15.5467,33486400,0.0,1.0
2010-05-06,25.71,25.74,24.04,25.14,15.1666,67762600,0.0,1.0
