,open,high,low,close,volume
2019-02-01,25.09,25.09,25.008,25.008,95400
2019-02-04,25.16,25.3231,25.16,25.2598,702
2019-02-05,25.5015,25.5852,25.5015,25.5852,225
2019-02-06,25.49,25.5092,25.49,25.5092,101
2019-02-07,25.35,25.51,25.0171,25.03,806
2019-02-08,25.0,25.3796,24.78,25.3796,300
2019-02-11,25.5,25.5,25.4702,25.4702,127
2019-02-12,25.78,25.78,25.7753,25.7753,401
2019-02-13,25.8218,25.8218,25.8218,25.8218,28
2019-02-14,25.7482,25.9207,25.7482,25.9207,421
2019-02-15,26.0233,26.0233,26.0233,26.0233,1
2019-02-19,26.07,26.2443,26.07,26.2443,371
2019-02-20,26.29,26.3,26.1862,26.1862,447
2019-02-21,26.125,26.1263,26.125,26.1263,102
2019-02-22,26.3286,26.3934,26.26,26.3934,1458
2019-02-25,26.48,26.61,26.48,26.5082,1619
2019-02-26,26.56,26.572,26.5508,26.5508,740
2019-02-27,26.5913,26.5913,26.5913,26.5913,1
2019-02-28,26.44,26.44,26.34,26.3678,1757
2019-03-01,26.39,26.5151,26.39,26.5151,982
2019-03-04,26.31,26.31,25.8,25.9539,2358
2019-03-05,26.0202,26.0202,26.0202,26.0202,1
2019-03-06,26.0,26.0,25.7973,25.7973,105
2019-03-07,25.85,25.85,25.6468,25.6468,129
2019-03-08,25.3696,25.54,25.35,25.5052,640
2019-03-11,26.0458,26.0458,26.0458,26.0458,3
2019-03-12,26.081,26.081,26.081,26.081,40
2019-03-13,26.2726,26.31,26.27,26.31,530
2019-03-14,26.2951,26.2951,26.2951,26.2951,5
2019-03-15,26.52,26.52,26.52,26.52,150
2019-03-18,26.71,26.71,26.63,26.67,200
2019-03-19,26.699,26.79,26.6518,26.6518,1305
2019-03-20,26.69,26.83,26.69,26.83,233
2019-03-21,26.8687,27.1439,26.8687,27.1439,461
2019-03-22,26.8811,26.89,26.5298,26.5298,688
2019-03-25,26.42,26.44,26.2764,26.3116,2001
2019-03-26,26.69,26.69,26.4453,26.4453,114
2019-03-27,26.25,26.33,26.25,26.2884,1302
2019-03-28,26.5,26.5,26.3846,26.3846,189
2019-03-29,26.64,26.72,26.64,26.701,3206
2019-04-01,26.9643,27.0027,26.9643,27.0027,111
2019-04-02,26.99,27.1,26.99,27.1,270
2019-04-03,27.2473,27.2473,27.2473,27.2473,0
2019-04-04,27.01,27.07,27.01,27.0263,503
2019-04-05,27.09,27.29,27.09,27.29,2199
2019-04-08,27.14,27.3252,27.11,27.3252,732
2019-04-09,27.205,27.205,27.2,27.2,300
2019-04-10,27.5016,27.5016,27.5016,27.5016,6
2019-04-11,27.52,27.5657,27.52,27.5657,400
2019-04-12,27.85,27.89,27.826,27.89,329
2019-04-15,27.8013,27.8013,27.8013,27.8013,121
2019-04-16,27.8412,27.8412,27.7261,27.7261,207
2019-04-17,28.03,28.03,27.6258,27.64,484
2019-04-18,27.55,27.563,27.55,27.563,182
2019-04-22,27.6242,27.6242,27.6242,27.6242,25
2019-04-23,27.85,27.8807,27.8221,27.8807,688
2019-04-24,27.95,27.95,27.8656,27.8656,961
2019-04-25,27.966,27.966,27.911,27.911,224
2019-04-26,27.84,27.857,27.84,27.857,356
2019-04-29,27.975,27.975,27.97,27.97,243
2019-04-30,27.8593,27.8593,27.8593,27.8593,11
2019-05-01,27.6689,27.6689,27.6689,27.6689,1
2019-05-02,27.594,27.594,27.594,27.594,100
2019-05-03,27.6377,27.7009,27.6377,27.7009,562
2019-05-06,27.51,27.7401,27.51,27.6714,2012
2019-05-07,27.514,27.514,27.1,27.1408,1914
2019-05-08,27.02,27.3,27.02,27.1916,1903
2019-05-09,26.8267,27.1137,26.8267,27.1137,1026
2019-05-10,26.64,27.0784,26.64,27.0784,683
2019-05-13,26.41,26.41,26.2724,26.2724,235
2019-05-14,26.74,26.74,26.6848,26.6848,847
2019-05-15,26.72,27.26,26.72,27.1489,617
2019-05-16,27.71,28.4115,27.5255,27.5255,1878
2019-05-17,27.33,27.4018,27.33,27.4018,180
2019-05-20,27.02,27.09,27.02,27.0456,1085
2019-05-21,27.15,27.33,27.15,27.2783,580
2019-05-22,27.1861,27.66,27.1861,27.65,857
2019-05-23,27.05,27.05,26.66,26.711,1408
2019-05-24,26.86,26.86,26.66,26.66,502
2019-05-28,26.66,26.678,26.4616,26.4616,1586
2019-05-29,26.227,26.227,26.227,26.227,202
2019-05-30,26.12,26.218,26.12,26.218,843
2019-05-31,26.02,26.02,25.6212,25.6212,100
2019-06-03,25.4801,25.4801,25.2559,25.2559,466
2019-06-04,25.4414,25.624,25.4414,25.624,563
2019-06-05,25.54,25.8809,25.54,25.8809,1960
2019-06-06,25.8832,25.8832,25.8832,25.8832,2
2019-06-07,26.25,26.25,26.2312,26.2312,113
2019-06-10,26.7,26.7,26.644,26.644,304
2019-06-11,26.7639,26.7639,26.6771,26.6771,206
2019-06-12,26.565,26.565,26.565,26.565,6
2019-06-13,26.54,26.6198,26.54,26.6198,225
2019-06-14,26.5162,26.5162,26.5162,26.5162,0
2019-06-17,26.58,26.58,26.5317,26.5317,213
2019-06-18,26.7394,26.7394,26.7394,26.7394,0
2019-06-19,27.0,27.0,26.97,26.97,169
2019-06-20,27.88,27.89,27.29,27.29,441
2019-06-21,27.097,27.097,27.097,27.097,58
2019-06-24,26.98,27.1774,26.98,27.1153,528
2019-06-25,26.89,26.89,26.6726,26.6726,199
2019-06-26,26.78,26.95,26.756,26.8883,1205
