,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2012-08-14,20.07,20.07,19.93,19.93,16.6741,300,0.0,1.0
2012-08-15,19.95,20.03,19.926,20.02,16.7494,31366,0.0,1.0
2012-08-16,20.1299,20.3,20.1299,20.27,16.9586,44600,0.0,1.0
2012-08-17,20.41,20.41,20.2,20.3,16.9837,140133,0.0,1.0
2012-08-20,20.95,21.0,20.18,20.22,16.9167,15289,0.0,1.0
2012-08-21,20.23,20.34,20.1,20.1,16.8163,8485,0.0,1.0
2012-08-22,20.9999,20.9999,19.9785,20.07,16.7912,23050,0.0,1.0
2012-08-23,19.96,19.99,19.85,19.89,16.6406,167154,0.0,1.0
2012-08-24,19.85,20.02,19.8199,19.99,16.7243,19470,0.0,1.0
2012-08-27,20.03,20.08,19.91,19.94,16.6825,130054,0.0,1.0
2012-08-28,19.9,19.96,19.85,19.88,16.6323,212464,0.0,1.0
2012-08-29,19.9,20.0799,19.82,19.9494,16.6903,91651,0.0,1.0
2012-08-30,19.81,19.81,19.6499,19.69,16.4733,86032,0.0,1.0
2012-08-31,20.595,20.595,19.688,19.89,16.6406,33935,0.0,1.0
2012-09-04,19.85,19.9,19.57,19.79,16.557,44088,0.0,1.0
2012-09-05,20.26,20.26,19.7,19.78,16.5486,32702,0.0,1.0
2012-09-06,19.86,20.231,19.86,20.21,16.9084,56627,0.0,1.0
2012-09-07,20.13,20.1799,20.04,20.13,16.8414,34976,0.0,1.0
2012-09-10,20.05,20.1,19.954,19.97,16.7076,47954,0.0,1.0
2012-09-11,19.98,20.15,19.95,20.1,16.8163,92627,0.0,1.0
2012-09-12,20.15,20.2,20.1,20.13,16.8414,29919,0.0,1.0
2012-09-13,20.09,20.4,20.0503,20.35,17.0255,90790,0.0,1.0
2012-09-14,20.37,20.55,20.37,20.45,17.1092,37406,0.0,1.0
2012-09-17,20.41,20.41,20.25,20.34,17.0171,20367,0.0,1.0
2012-09-18,20.26,20.33,20.26,20.29,16.9753,25601,0.0,1.0
2012-09-19,20.32,20.32,20.225,20.25,16.9418,36719,0.0,1.0
2012-09-20,20.13,20.2,20.02,20.18,16.8833,54292,0.0,1.0
2012-09-21,20.26,20.26,20.15,20.17,16.9055,37171,0.0366,1.0
2012-09-24,19.99,20.05,19.95,20.01,16.7714,113427,0.0,1.0
2012-09-25,20.08,20.08,19.75,19.75,16.5535,76124,0.0,1.0
2012-09-26,19.66,19.75,19.5263,19.66,16.4781,43746,0.0,1.0
2012-09-27,19.71,19.9199,19.6301,19.9,16.6792,20409,0.0,1.0
2012-09-28,19.81,19.8115,19.7107,19.78,16.5786,12175,0.0,1.0
2012-10-01,19.87,19.95,19.691,19.77,16.5703,22941,0.0,1.0
2012-10-02,19.81,19.86,19.7089,19.8,16.5954,45525,0.0,1.0
2012-10-03,19.83,19.9,19.7,19.76,16.5619,24593,0.0,1.0
2012-10-04,19.75,19.84,19.65,19.81,16.6038,26356,0.0,1.0
2012-10-05,19.92,20.03,19.8,19.82,16.6122,27697,0.0,1.0
2012-10-08,19.71,19.79,19.63,19.67,16.4865,39812,0.0,1.0
2012-10-09,19.59,19.59,19.34,19.37,16.235,33328,0.0,1.0
2012-10-10,19.3114,19.3114,19.1665,19.1929,16.0866,68528,0.0,1.0
2012-10-11,19.32,19.326,19.17,19.21,16.1009,28475,0.0,1.0
2012-10-12,19.18,19.21,19.15,19.15,16.0506,18915,0.0,1.0
2012-10-15,19.22,19.3499,19.21,19.34,16.2099,12523,0.0,1.0
2012-10-16,19.38,19.59,19.38,19.59,16.4194,40599,0.0,1.0
2012-10-17,19.9999,19.9999,19.32,19.48,16.3272,31876,0.0,1.0
2012-10-18,19.44,19.9499,19.33,19.37,16.235,23046,0.0,1.0
2012-10-19,19.35,19.35,18.96,19.04,15.9584,35737,0.0,1.0
2012-10-22,19.01,19.08,18.8716,19.04,15.9584,41094,0.0,1.0
2012-10-23,18.89,18.99,18.71,18.96,15.8914,42688,0.0,1.0
2012-10-24,18.98,19.01,18.78,18.79,15.7489,45795,0.0,1.0
2012-10-25,18.91,18.97,18.774,18.86,15.8075,16513,0.0,1.0
2012-10-26,18.84,19.0,18.83,19.0,15.9249,13371,0.0,1.0
2012-10-31,19.09,19.224,18.92,18.946,15.8796,25271,0.0,1.0
2012-11-01,19.1,19.314,19.03,19.314,16.1881,7983,0.0,1.0
2012-11-02,19.38,19.38,19.1195,19.14,16.0422,29072,0.0,1.0
2012-11-05,19.1,19.28,19.1,19.28,16.1596,49664,0.0,1.0
2012-11-06,19.2701,19.5,19.2701,19.3901,16.2519,84060,0.0,1.0
2012-11-07,19.2499,19.2499,18.9478,18.9776,15.9061,347226,0.0,1.0
2012-11-08,19.0912,19.12,18.9,18.9,15.8411,24583,0.0,1.0
2012-11-09,18.85,19.07,18.85,18.91,15.8495,19861,0.0,1.0
2012-11-12,18.98,18.98,18.818,18.85,15.7992,19233,0.0,1.0
2012-11-13,18.72,18.88,18.69,18.69,15.6651,28968,0.0,1.0
2012-11-14,18.74,18.77,18.462,18.49,15.4974,22876,0.0,1.0
2012-11-15,18.52,18.52,18.4119,18.431,15.448,17222,0.0,1.0
2012-11-16,18.45,18.5222,18.25,18.46,15.4723,58372,0.0,1.0
2012-11-19,18.66,18.7099,18.631,18.695,15.6693,10681,0.0,1.0
2012-11-20,18.62,18.62,18.4939,18.57,15.5645,6645,0.0,1.0
2012-11-21,18.61,18.69,18.5884,18.6736,15.6513,25784,0.0,1.0
2012-11-23,19.46,19.46,18.88,18.908,15.8478,9643,0.0,1.0
2012-11-26,18.93,18.97,18.81,18.97,15.8997,24881,0.0,1.0
2012-11-27,19.044,19.044,18.91,18.91,15.8495,52223,0.0,1.0
2012-11-28,18.78,19.05,18.69,19.04,15.9584,8134,0.0,1.0
2012-11-29,19.06,19.19,19.06,19.11,16.0171,87694,0.0,1.0
2012-11-30,19.1614,19.1614,19.06,19.13,16.0338,14536,0.0,1.0
2012-12-03,19.18,19.1917,19.06,19.1019,16.0103,28802,0.0,1.0
2012-12-04,19.12,19.179,19.037,19.172,16.0691,21112,0.0,1.0
2012-12-05,19.05,19.3,19.05,19.2299,16.1176,32228,0.0,1.0
2012-12-06,19.25,19.3259,19.25,19.32,16.1931,15909,0.0,1.0
2012-12-07,19.42,19.42,19.26,19.34,16.2099,88010,0.0,1.0
2012-12-10,19.34,19.47,19.34,19.43,16.2853,23858,0.0,1.0
2012-12-11,19.4601,19.676,19.4601,19.63,16.4529,10495,0.0,1.0
2012-12-12,19.71,19.74,19.5555,19.59,16.4194,24853,0.0,1.0
2012-12-13,19.53,19.69,19.45,19.45,16.3021,22387,0.0,1.0
2012-12-14,19.44,19.4832,19.348,19.35,16.2182,15704,0.0,1.0
2012-12-17,19.45,19.54,19.44,19.49,16.3356,28723,0.0,1.0
2012-12-18,19.585,19.86,19.585,19.85,16.6373,174480,0.0,1.0
2012-12-19,19.91,19.9386,19.8401,19.86,16.6457,15279,0.0,1.0
2012-12-20,19.85,19.89,19.771,19.87,16.6541,22973,0.0,1.0
2012-12-21,19.48,19.57,19.4264,19.54,16.5159,27838,0.1651,1.0
2012-12-24,19.4699,19.48,19.41,19.44,16.4313,13891,0.0,1.0
2012-12-26,19.45,19.51,19.3601,19.4299,16.4228,48339,0.0,1.0
2012-12-27,19.44,19.44,19.15,19.37,16.3722,14385,0.0,1.0
2012-12-28,19.25,19.2899,19.15,19.15,16.1862,31670,0.0,1.0
2012-12-31,19.04,19.4088,19.04,19.32,16.3299,41412,0.0,1.0
2013-01-02,19.86,20.0472,19.846,20.043,16.941,20336,0.0,1.0
2013-01-03,20.05,20.11,19.95,19.98,16.8878,29743,0.0,1.0
2013-01-04,19.95,20.01,19.88,19.97,16.8793,38815,0.0,1.0
2013-01-07,19.85,19.99,19.85,19.97,16.8793,22629,0.0,1.0
2013-01-08,19.93,19.9499,19.72,19.824,16.7559,25148,0.0,1.0
2013-01-09,19.92,20.01,19.91,19.99,16.8962,22525,0.0,1.0
2013-01-10,20.0201,20.15,19.984,20.15,17.0315,140198,0.0,1.0
2013-01-11,20.15,20.22,20.115,20.15,17.0315,32486,0.0,1.0
2013-01-14,20.23,20.2698,20.12,20.25,17.116,12301,0.0,1.0
2013-01-15,20.18,20.23,20.1101,20.23,17.0991,31931,0.0,1.0
2013-01-16,20.19,20.3299,20.1701,20.3,17.1582,68473,0.0,1.0
2013-01-17,20.39,20.507,20.342,20.46,17.2935,41054,0.0,1.0
2013-01-18,20.34,20.42,20.3198,20.42,17.2597,35206,0.0,1.0
2013-01-22,20.41,20.47,20.3,20.47,17.3019,24522,0.0,1.0
2013-01-23,20.81,20.81,20.46,20.53,17.3527,27585,0.0,1.0
2013-01-24,20.5,20.64,20.46,20.5,17.3273,88941,0.0,1.0
