,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,163.53,166.71,162.66,165.47,8.8003,289200,0.0,1.0
2010-01-05,165.26,167.09,162.21,165.24,8.7881,316600,0.0,1.0
2010-01-06,164.52,166.26,160.31,161.24,8.5754,417100,0.0,1.0
2010-01-07,160.41,161.22,157.19,159.37,8.4759,284700,0.0,1.0
2010-01-08,158.4,163.36,157.11,162.99,8.6684,332900,0.0,1.0
2010-01-11,164.83,165.33,158.51,160.62,8.5424,346900,0.0,1.0
2010-01-12,157.92,158.47,152.51,155.05,8.2462,424200,0.0,1.0
2010-01-13,155.23,160.49,152.26,158.99,8.4557,385900,0.0,1.0
2010-01-14,158.5,164.0,158.0,162.72,8.6541,234600,0.0,1.0
2010-01-15,163.05,164.0,154.54,156.2,8.3073,404600,0.0,1.0
2010-01-19,156.1,163.27,156.1,162.21,8.627,292700,0.0,1.0
2010-01-20,159.02,159.39,151.56,156.96,8.3477,424700,0.0,1.0
2010-01-21,157.98,160.63,149.75,151.56,8.0606,405800,0.0,1.0
2010-01-22,149.75,150.18,132.91,133.96,7.1245,752800,0.0,1.0
2010-01-25,136.68,139.52,134.9,136.76,7.2734,670000,0.0,1.0
2010-01-26,136.31,142.21,134.6,136.48,7.2585,633300,0.0,1.0
2010-01-27,135.66,140.36,132.79,138.63,7.3729,545500,0.0,1.0
2010-01-28,138.66,138.66,124.24,126.87,6.7474,913900,0.0,1.0
2010-01-29,130.9,130.9,116.07,118.3,6.2917,1102100,0.0,1.0
2010-02-01,120.18,123.89,119.62,123.51,6.5687,961100,0.0,1.0
2010-02-02,124.4,127.84,121.86,126.91,6.7496,733200,0.0,1.0
2010-02-03,125.12,129.45,124.77,128.63,6.841,579100,0.0,1.0
2010-02-04,125.46,126.64,117.16,117.68,6.2587,988900,0.0,1.0
2010-02-05,118.75,121.98,114.85,120.97,6.4337,1049700,0.0,1.0
2010-02-08,121.29,124.3,119.09,119.4,6.3502,576200,0.0,1.0
2010-02-09,123.72,126.47,120.44,123.56,6.5714,752700,0.0,1.0
2010-02-10,123.25,125.14,119.82,122.28,6.5033,552800,0.0,1.0
2010-02-11,122.75,128.23,120.0,127.25,6.7677,609800,0.0,1.0
2010-02-12,123.77,128.94,121.73,128.12,6.8139,628200,0.0,1.0
2010-02-16,130.99,134.15,129.41,133.84,7.1181,478300,0.0,1.0
2010-02-17,135.77,136.0,133.52,135.39,7.2006,487200,0.0,1.0
2010-02-18,135.11,139.57,134.15,138.91,7.3878,576200,0.0,1.0
2010-02-19,137.5,140.0,136.0,138.24,7.3521,474300,0.0,1.0
2010-02-22,140.19,140.34,136.21,137.1,7.2915,460900,0.0,1.0
2010-02-23,135.93,136.53,129.12,131.33,6.9846,576300,0.0,1.0
2010-02-24,132.65,136.89,132.63,135.21,7.191,375600,0.0,1.0
2010-02-25,129.86,135.25,126.85,134.33,7.1442,557100,0.0,1.0
2010-02-26,133.63,136.2,132.33,134.95,7.1772,294900,0.0,1.0
2010-03-01,136.19,141.02,135.47,140.31,7.4622,633600,0.0,1.0
2010-03-02,142.68,143.92,138.71,139.54,7.4213,715600,0.0,1.0
2010-03-03,140.99,142.37,139.0,139.91,7.441,467300,0.0,1.0
2010-03-04,140.53,142.35,137.58,141.69,7.5356,415800,0.0,1.0
2010-03-05,144.94,148.09,143.83,147.25,7.8313,836900,0.0,1.0
2010-03-08,147.55,149.19,147.31,148.38,7.8914,362800,0.0,1.0
2010-03-09,147.1,152.98,146.79,150.0,7.9776,577500,0.0,1.0
2010-03-10,150.47,154.35,150.19,153.6,8.1691,475700,0.0,1.0
2010-03-11,152.27,155.09,151.21,154.99,8.243,390500,0.0,1.0
2010-03-12,156.97,156.99,153.5,155.17,8.2525,456600,0.0,1.0
2010-03-15,153.49,154.6,149.83,153.06,8.1403,554500,0.0,1.0
2010-03-16,153.07,157.78,153.07,157.47,8.3749,514100,0.0,1.0
2010-03-17,157.97,162.07,157.51,159.25,8.4695,354500,0.0,1.0
2010-03-18,160.11,160.85,158.23,159.79,8.4983,362700,0.0,1.0
2010-03-19,155.78,160.9,154.01,155.78,8.285,320900,0.0,1.0
2010-03-22,153.51,161.55,152.66,159.59,8.4876,383700,0.0,1.0
2010-03-23,155.79,159.82,154.15,159.25,9.5483,444200,20.284,1.0
2010-03-24,158.6,158.6,156.01,156.94,9.4098,452900,0.0,1.0
2010-03-25,160.99,164.0,157.05,157.62,9.4506,437800,0.0,1.0
2010-03-26,158.91,159.72,154.09,156.67,9.3936,470700,0.0,1.0
2010-03-29,158.35,159.71,155.93,156.83,9.4032,255000,0.0,1.0
2010-03-30,157.67,160.04,155.5,158.92,9.5285,418700,0.0,1.0
2010-03-31,156.57,159.14,155.25,156.23,9.3672,170500,0.0,1.0
