,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,8.41,8.49,8.25,8.34,4103.1049,475875,0.0,1.0
2010-01-05,8.35,8.49,8.24,8.34,4103.1049,643847,0.0,1.0
2010-01-06,8.38,8.59,8.28,8.55,4206.4205,404827,0.0,1.0
2010-01-07,8.62,8.75,8.55,8.66,4260.5382,587651,0.0,1.0
2010-01-08,8.72,8.76,8.41,8.42,4142.4632,516121,0.0,1.0
2010-01-11,8.35,8.67,8.31,8.53,4196.5809,422976,0.0,1.0
2010-01-12,8.69,8.99,8.68,8.85,4354.0142,501232,0.0,1.0
2010-01-13,8.84,9.01,8.54,8.62,4240.859,546151,0.0,1.0
2010-01-14,8.57,8.67,8.3564,8.4201,4142.5124,443373,0.0,1.0
2010-01-15,8.47,8.84,8.34,8.74,4299.8965,796437,0.0,1.0
2010-01-19,8.76,8.76,8.35,8.378,4121.8001,510435,0.0,1.0
2010-01-20,8.56,8.9699,8.51,8.6901,4275.3467,732468,0.0,1.0
2010-01-21,8.67,9.07,8.47,8.98,4417.9714,1101502,0.0,1.0
2010-01-22,9.11,10.09,9.06,9.99,4914.8702,1757742,0.0,1.0
2010-01-25,9.8,9.9299,9.58,9.79,4816.4744,1109989,0.0,1.0
2010-01-26,9.83,9.94,9.4,9.78,4811.5546,1722873,0.0,1.0
2010-01-27,9.73,10.07,9.51,9.6286,4737.069,1607466,0.0,1.0
2010-01-28,9.7,10.65,9.64,10.46,5146.1004,2158107,0.0,1.0
2010-01-29,10.2,11.36,10.12,11.19,5505.245,2860235,0.0,1.0
2010-02-01,11.0,11.05,10.63,10.67,5249.416,1494297,0.0,1.0
2010-02-02,10.55,10.83,10.3,10.44,5136.2608,1409341,0.0,1.0
2010-02-03,10.5,10.55,10.17,10.25,5042.7848,1050122,0.0,1.0
2010-02-04,10.48,11.14,10.4,11.1,5460.9669,2561150,0.0,1.0
2010-02-05,11.02,11.37,10.68,10.75,5288.7743,2643264,0.0,1.0
2010-02-08,10.72,10.93,10.4898,10.93,5377.3305,943908,0.0,1.0
2010-02-09,10.52,10.82,10.25,10.53,5180.5389,1145295,0.0,1.0
2010-02-10,10.56,10.84,10.4,10.6301,5229.786,642905,0.0,1.0
2010-02-11,10.66,10.84,10.12,10.21,5023.1056,1020816,0.0,1.0
2010-02-12,10.44,10.65,10.07,10.1201,4978.8767,1480419,0.0,1.0
2010-02-16,9.96,10.03,9.65,9.7,4772.1963,970180,0.0,1.0
2010-02-17,9.62,9.6901,9.51,9.56,4703.3193,939166,0.0,1.0
2010-02-18,9.58,9.65,9.27,9.3,4575.4047,825033,0.0,1.0
2010-02-19,9.43,9.5,9.23,9.35,4600.0037,712708,0.0,1.0
2010-02-22,9.23,9.49,9.21,9.42,4634.4422,454116,0.0,1.0
2010-02-23,9.5,9.97,9.46,9.81,4826.314,1009703,0.0,1.0
2010-02-24,9.75,9.75,9.4,9.52,4683.6401,897764,0.0,1.0
2010-02-25,9.94,10.1199,9.52,9.5682,4707.3535,1309379,0.0,1.0
2010-02-26,9.64,9.7195,9.44,9.54,4693.4797,462361,0.0,1.0
2010-03-01,9.43,9.44,9.1,9.1,4477.0089,1002292,0.0,1.0
2010-03-02,9.0,9.25,8.92,9.1801,4516.4164,682408,0.0,1.0
2010-03-03,9.12,9.24,9.01,9.18,4516.3672,465131,0.0,1.0
2010-03-04,9.14,9.32,9.01,9.01,4432.7308,521491,0.0,1.0
2010-03-05,8.84,8.906,8.64,8.72,4290.0569,939650,0.0,1.0
2010-03-08,8.69,8.7,8.58,8.62,4240.859,629551,0.0,1.0
2010-03-09,8.74,8.74,8.3601,8.54,4201.5007,726598,0.0,1.0
2010-03-10,8.51,8.5399,8.27,8.35,4108.0247,668982,0.0,1.0
2010-03-11,8.4,8.4599,8.25,8.26,4063.7466,479221,0.0,1.0
2010-03-12,8.18,8.33,8.14,8.24,4053.907,748016,0.0,1.0
2010-03-15,8.34,8.52,8.26,8.33,4098.1851,771582,0.0,1.0
2010-03-16,8.35,8.35,8.08,8.11,3989.9497,595151,0.0,1.0
2010-03-17,8.07,8.09,7.87,8.01,3940.7518,604015,0.0,1.0
2010-03-18,7.96,8.07,7.93,7.9858,3928.8459,387514,0.0,1.0
2010-03-19,7.95,8.27,7.95,8.16,4014.5487,1012995,0.0,1.0
2010-03-22,8.3,8.35,7.87,7.96,3916.1529,960118,0.0,1.0
2010-03-23,7.91,8.01,7.71,7.73,3802.9977,1034492,0.0,1.0
2010-03-24,7.78,7.9,7.77,7.84,3857.1154,381803,0.0,1.0
2010-03-25,7.67,7.84,7.48,7.83,3852.1956,917570,0.0,1.0
2010-03-26,7.78,7.98,7.7,7.86,3866.955,743451,0.0,1.0
2010-03-29,7.74,7.89,7.7,7.86,3866.955,640597,0.0,1.0
2010-03-30,7.81,7.91,7.68,7.72,3798.0779,568878,0.0,1.0
2010-03-31,7.85,7.92,7.73,7.89,3881.7143,621777,0.0,1.0
2010-04-01,7.74,8.07,7.606,7.88,3876.7945,1024953,0.0,1.0
2010-04-05,7.8,7.85,7.56,7.57,3724.2811,754872,0.0,1.0
2010-04-06,7.66,7.74,7.48,7.56,3719.3613,594529,0.0,1.0
2010-04-07,7.63,7.71,7.48,7.61,3743.9602,646860,0.0,1.0
2010-04-08,7.7,7.8199,7.56,7.61,3743.9602,420873,0.0,1.0
2010-04-09,7.56,7.63,7.4,7.4,3640.6446,755777,0.0,1.0
2010-04-12,7.38,7.42,7.26,7.34,3611.1259,539175,0.0,1.0
2010-04-13,7.35,7.44,7.21,7.24,3561.928,427536,0.0,1.0
2010-04-14,7.02,7.05,6.85,6.86,3374.976,1025356,0.0,1.0
2010-04-15,6.87,6.91,6.75,6.79,3340.5374,602535,0.0,1.0
2010-04-16,6.89,7.16,6.79,7.03,3458.6124,1902760,0.0,1.0
2010-04-19,7.18,7.3,6.98,7.04,3463.5322,1127491,0.0,1.0
2010-04-20,6.95,7.1,6.88,6.92,3404.4947,480976,0.0,1.0
2010-04-21,6.76,6.95,6.75,6.83,3360.2166,758888,0.0,1.0
2010-04-22,7.07,7.18,6.74,6.7601,3325.8273,1056102,0.0,1.0
2010-04-23,6.74,6.89,6.69,6.69,3291.3395,850751,0.0,1.0
2010-04-26,6.69,6.76,6.62,6.74,3315.9385,755959,0.0,1.0
2010-04-27,6.83,7.18,6.71,7.12,3502.8905,1057829,0.0,1.0
2010-04-28,6.97,7.29,6.97,7.08,3483.2113,1147969,0.0,1.0
2010-04-29,7.0,7.0424,6.85,6.8899,3389.6861,500975,0.0,1.0
2010-04-30,6.88,7.33,6.88,7.31,3596.3665,869337,0.0,1.0
2010-05-03,7.24,7.24,6.9201,7.03,3458.6124,551212,0.0,1.0
2010-05-04,7.28,7.7881,7.26,7.63,3753.7998,1419360,0.0,1.0
2010-05-05,7.9,7.98,7.6,7.74,3807.9175,1801648,0.0,1.0
2010-05-06,7.88,9.5,4.44,8.33,4098.1851,2830000,0.0,1.0
2010-05-07,8.72,9.75,8.42,9.12,4486.8485,3677665,0.0,1.0
2010-05-10,7.85,8.0,7.64,7.78,3827.5966,2020700,0.0,1.0
2010-05-11,8.01,8.04,7.44,7.825,3849.7357,1600142,0.0,1.0
2010-05-12,7.7,7.71,7.23,7.26,3571.7676,1270201,0.0,1.0
2010-05-13,7.37,7.65,7.14,7.59,3734.1206,1257525,0.0,1.0
2010-05-14,7.79,8.2799,7.7699,7.96,3916.1529,2273464,0.0,1.0
2010-05-17,7.94,8.43,7.83,7.91,3891.5539,1477942,0.0,1.0
2010-05-18,7.7,8.3599,7.69,8.23,4048.9872,1353191,0.0,1.0
2010-05-19,8.3,8.71,8.12,8.42,4142.4632,1739005,0.0,1.0
2010-05-20,8.93,9.4,8.82,9.31,4580.3245,2385732,0.0,1.0
2010-05-21,9.79,9.9,8.88,9.082,4468.1533,2224324,0.0,1.0
2010-05-24,9.04,9.25,8.81,9.23,4540.9662,1011284,0.0,1.0
2010-05-25,9.86,10.14,9.25,9.25,4550.8058,1780948,0.0,1.0
2010-05-26,9.04,9.6399,8.68,9.53,4688.5599,1312236,0.0,1.0
2010-05-27,8.89,8.93,8.49,8.51,4186.7413,1023950,0.0,1.0
2010-05-28,8.5,8.91,8.4894,8.66,4260.5382,853114,0.0,1.0
2010-06-01,8.81,9.0,8.4,8.98,4417.9714,756957,0.0,1.0
2010-06-02,8.82,8.99,8.35,8.37,4117.8643,866323,0.0,1.0
2010-06-03,8.3,8.37,8.0,8.07,3970.2706,1079706,0.0,1.0
2010-06-04,8.54,8.9501,8.24,8.84,4349.0944,1188867,0.0,1.0
2010-06-07,8.75,9.41,8.67,9.37,4609.8433,1347455,0.0,1.0
2010-06-08,9.31,9.81,9.26,9.4,4624.6026,1565180,0.0,1.0
2010-06-09,9.19,9.72,8.9,9.62,4732.838,1171624,0.0,1.0
2010-06-10,9.18,9.32,8.87,8.91,4383.5329,1092663,0.0,1.0
2010-06-11,9.11,9.1794,8.53,8.56,4211.3403,779911,0.0,1.0
2010-06-14,8.33,8.64,8.2,8.61,4235.9392,587454,0.0,1.0
2010-06-15,8.45,8.4594,7.84,7.9,3886.6341,1212603,0.0,1.0
2010-06-16,8.0,8.02,7.702,7.82,3847.2758,1137563,0.0,1.0
2010-06-17,7.71,7.96,7.65,7.7,3788.2383,664858,0.0,1.0
2010-06-18,7.68,7.776,7.5604,7.69,3783.3185,542834,0.0,1.0
2010-06-21,7.44,8.03,7.4,7.9,3886.6341,1169797,0.0,1.0
2010-06-22,7.85,8.15,7.64,8.11,3989.9497,1093164,0.0,1.0
2010-06-23,8.03,8.41,7.981,8.21,4039.1476,1111607,0.0,1.0
2010-06-24,8.34,8.74,8.25,8.66,4260.5382,1422521,0.0,1.0
2010-06-25,8.53,8.92,8.49,8.715,4287.597,1043932,0.0,1.0
2010-06-28,8.69,8.91,8.52,8.72,4290.0569,409124,0.0,1.0
2010-06-29,9.12,9.88,9.1,9.67,4757.437,1635109,0.0,1.0
2010-06-30,9.8,10.25,9.54,10.2,5018.1858,1524877,0.0,1.0
2010-07-01,10.17,10.8,9.93,10.29,5062.4639,2517165,0.0,1.0
2010-07-02,10.27,10.64,10.1,10.34,5087.0629,1389888,0.0,1.0
2010-07-06,9.85,10.3899,9.6,10.11,4973.9077,1323496,0.0,1.0
2010-07-07,9.99,10.04,8.96,9.0,4427.811,1307409,0.0,1.0
2010-07-08,43.59,45.74,43.51,44.2,4349.0944,2655000,0.0,0.2
2010-07-09,44.21,44.4,43.49,43.6,4290.0569,338962,0.0,1.0
2010-07-12,43.57,43.75,42.011,42.65,4196.5809,244015,0.0,1.0
2010-07-13,41.31,42.3,40.23,40.78,4012.5807,349906,0.0,1.0
2010-07-14,40.0,40.29,38.7,39.67,3903.3614,315277,0.0,1.0
2010-07-15,39.75,41.28,39.21,39.44,3880.7304,344114,0.0,1.0
