,open,high,low,close,volume
2019-02-01,25.5,25.5,25.0,25.09,95100
2019-02-04,25.1666,25.324,25.1666,25.2883,602
2019-02-05,25.5389,25.5389,25.5389,25.5389,0
2019-02-06,25.4116,25.4116,25.4116,25.4116,1
2019-02-07,25.37,25.37,24.955,24.955,605
2019-02-08,25.05,25.2,25.05,25.152,749
2019-02-11,25.2454,25.2454,25.2454,25.2454,0
2019-02-12,25.58,25.58,25.525,25.525,1089
2019-02-13,25.6916,25.6916,25.6916,25.6916,46
2019-02-14,25.5935,25.7102,25.5935,25.71,400
2019-02-15,25.9399,25.9399,25.9399,25.9399,1
2019-02-19,26.222,26.222,26.222,26.222,21
2019-02-20,26.2081,26.2081,26.2081,26.2081,8
2019-02-21,25.941,25.941,25.941,25.941,40
2019-02-22,26.3484,26.3484,26.347,26.347,490
2019-02-25,26.6012,26.6012,26.52,26.52,427
2019-02-26,26.6942,26.6942,26.6942,26.6942,40
2019-02-27,26.8099,26.8099,26.8099,26.8099,1
2019-02-28,26.98,26.98,26.8679,26.8679,531
2019-03-01,27.11,27.215,27.11,27.215,137
2019-03-04,27.18,27.18,26.47,26.5325,757
2019-03-05,26.7763,26.7763,26.7763,26.7763,1
2019-03-06,26.5734,26.5734,26.5734,26.5734,285
2019-03-07,26.36,26.36,26.3024,26.3024,257
2019-03-08,26.36,26.57,26.208,26.208,866
2019-03-11,26.8883,26.8883,26.8883,26.8883,13
2019-03-12,26.9296,26.9296,26.9296,26.9296,0
2019-03-13,27.32,27.32,27.22,27.22,741
2019-03-14,27.15,27.2152,27.15,27.2152,116
2019-03-15,27.18,27.57,27.18,27.465,404
2019-03-18,27.405,27.405,27.405,27.405,16
2019-03-19,27.54,27.54,27.4234,27.4234,224
2019-03-20,27.42,27.6199,27.4,27.5504,2260
2019-03-21,27.4,28.5,27.31,27.7937,12794
2019-03-22,28.68,28.68,27.05,27.174,6900
2019-03-25,27.0,27.0,26.92,26.9378,1556
2019-03-26,27.3651,27.75,27.3651,27.65,6287
2019-03-27,27.11,27.6,27.11,27.4753,11815
2019-03-28,27.63,27.9174,27.5876,27.9174,2915
2019-03-29,27.88,27.88,27.6508,27.6882,1123
2019-04-01,27.701,28.0447,27.701,28.0447,1805
2019-04-02,28.27,28.29,28.0254,28.0274,1206
2019-04-03,28.1298,28.1751,28.1298,28.1552,2231
2019-04-04,28.47,28.47,27.86,28.0801,2343
2019-04-05,28.29,28.29,28.095,28.1216,390
2019-04-08,28.33,28.33,28.1857,28.1857,1272
2019-04-09,28.21,28.25,28.0,28.0931,987
2019-04-10,27.965,28.43,27.965,28.0743,1614
2019-04-11,28.12,28.1237,28.035,28.035,1697
2019-04-12,28.35,28.43,28.135,28.135,1301
2019-04-15,28.1839,28.5849,28.1839,28.5849,1459
2019-04-16,28.6,28.6,28.34,28.34,668
2019-04-17,28.4261,28.5087,28.26,28.5087,727
2019-04-18,28.38,28.38,28.225,28.225,843
2019-04-22,28.24,28.24,28.095,28.095,460
2019-04-23,28.3116,28.56,28.3116,28.47,6206
2019-04-24,28.6143,28.65,28.5857,28.5857,1538
2019-04-25,28.59,28.81,28.5619,28.655,3571
2019-04-26,28.94,28.94,28.641,28.7392,2071
2019-04-29,28.95,29.2761,28.95,29.1331,5145
2019-04-30,29.162,29.2088,29.162,29.2088,147
2019-05-01,29.2616,29.2616,28.9484,28.9484,1234
2019-05-02,28.7403,28.7403,28.7403,28.7403,37
2019-05-03,29.07,29.22,28.9977,29.202,2958
2019-05-06,28.7999,28.9449,28.7999,28.9359,1256
2019-05-07,28.7,28.74,28.53,28.6395,1349
2019-05-08,28.8456,28.9001,28.8456,28.9001,249
2019-05-09,28.59,28.7,28.1321,28.4732,5674
2019-05-10,28.4,28.756,28.1,28.756,4056
2019-05-13,28.18,28.18,27.8668,27.9052,1770
2019-05-14,28.24,28.2781,28.24,28.2781,235
2019-05-15,28.29,28.46,28.29,28.46,218
2019-05-16,28.71,29.0704,28.71,29.05,1878
2019-05-17,28.8941,28.9133,28.8467,28.8467,693
2019-05-20,28.86,28.86,28.64,28.64,1243
2019-05-21,28.66,29.2,28.66,29.2,350
2019-05-22,29.1499,29.1499,29.14,29.14,116
2019-05-23,28.43,28.6098,28.43,28.6098,288
2019-05-24,28.961,29.0166,28.9515,28.9645,1820
2019-05-28,29.25,29.3766,29.2265,29.2544,2107
2019-05-29,28.9,28.9036,28.7892,28.9036,1501
2019-05-30,28.9576,29.02,28.9576,29.02,312
2019-05-31,29.15,29.15,28.4491,28.4888,1429
2019-06-03,28.45,28.45,28.1002,28.1002,360
2019-06-04,28.4899,28.7708,28.4899,28.7708,725
2019-06-05,29.0399,29.0399,29.035,29.035,354
2019-06-06,29.01,29.3205,29.01,29.3205,2158
2019-06-07,29.7204,29.7204,29.7127,29.7127,265
2019-06-10,29.9748,29.9748,29.9666,29.9666,314
2019-06-11,30.02,30.02,29.925,29.925,172
2019-06-12,29.831,29.831,29.83,29.83,591
2019-06-13,29.893,29.893,29.893,29.893,144
2019-06-14,29.7028,29.7875,29.7028,29.7875,155
2019-06-17,29.6907,29.6907,29.6907,29.6907,45
2019-06-18,29.83,29.9627,29.8,29.9627,3241
2019-06-19,30.04,30.04,30.04,30.04,148
2019-06-20,30.3847,30.3847,30.3847,30.3847,71
2019-06-21,30.2725,30.2725,30.2725,30.2725,118
2019-06-24,30.17,30.3052,30.095,30.095,1035
2019-06-25,29.8704,29.8704,29.8704,29.8704,30
2019-06-26,29.8796,29.8796,29.8796,29.8796,39
2019-06-27,29.9853,29.9853,29.9853,29.9853,201
