,open,high,low,close,volume
2018-11-09,24.27,24.31,24.0,24.0501,28056
2018-11-12,24.05,24.05,23.28,23.46,20888
2018-11-13,23.66,23.94,23.53,23.61,9683
2018-11-14,23.99,24.13,23.9,23.93,17118
2018-11-15,23.87,24.605,23.87,24.5132,10572
2018-11-16,24.35,24.35,24.01,24.17,7579
2018-11-19,23.97,23.97,23.39,23.39,14923
2018-11-20,22.62,23.21,22.5038,22.98,11039
2018-11-21,23.445,23.7,23.445,23.5,7005
2018-11-23,23.19,23.2424,23.19,23.2,1649
2018-11-26,23.46,23.828,23.45,23.828,6534
2018-11-27,23.82,23.958,23.8,23.9,4394
2018-11-28,24.25,24.54,23.898,24.54,6144
2018-11-29,24.39,24.455,24.03,24.25,11899
2018-11-30,24.3594,24.6505,24.3594,24.64,1835
2018-12-03,25.62,25.72,25.325,25.45,11365
2018-12-04,25.305,25.3339,24.59,24.59,1435
2018-12-06,23.86,24.525,23.66,24.525,5935
2018-12-07,24.845,24.845,23.9248,24.06,999
2018-12-10,23.985,23.985,23.825,23.825,853
2018-12-11,24.4501,24.6,24.32,24.44,3145
2018-12-12,24.878,25.085,24.78,24.78,1965
2018-12-13,24.748,24.815,24.748,24.815,337
2018-12-14,24.1968,24.458,24.1968,24.44,507
2018-12-17,23.84,23.955,23.76,23.7874,829
2018-12-18,23.678,23.678,23.392,23.51,1418
2018-12-19,23.795,23.795,22.828,22.88,3360
2018-12-20,22.715,22.715,22.22,22.4784,2394
2018-12-21,22.81,22.85,22.0,22.0,4112
2018-12-24,21.75,22.185,21.75,21.79,2209
2018-12-26,21.915,22.348,21.7217,22.348,1237
2018-12-27,22.655,22.655,22.44,22.44,805
2018-12-28,23.115,23.115,22.74,22.74,455
2018-12-31,23.2151,23.2151,22.802,22.802,1257
2019-01-02,23.038,23.038,23.038,23.038,226
2019-01-03,22.66,22.66,22.34,22.445,807
2019-01-04,22.945,23.63,22.945,23.57,4525
2019-01-07,23.665,24.015,23.665,24.015,1532
2019-01-08,24.25,24.25,23.98,24.225,2990
2019-01-09,24.3612,24.748,24.3612,24.735,5521
2019-01-10,24.49,24.7417,24.4325,24.7308,2725
2019-01-11,24.53,24.548,24.2986,24.548,2272
2019-01-14,24.1,24.138,24.1,24.138,302
2019-01-15,24.57,24.735,24.4876,24.5774,2974
2019-01-16,24.785,24.85,24.785,24.85,406
2019-01-17,24.83,24.95,24.83,24.945,943
2019-01-18,25.195,25.46,25.195,25.275,1056
2019-01-22,25.01,25.01,24.45,24.585,4090
2019-01-23,24.828,24.828,24.3976,24.3976,691
2019-01-24,24.78,24.905,24.69,24.69,441
2019-01-25,25.17,25.49,25.17,25.49,804
2019-01-28,25.25,25.28,25.0,25.28,7918
2019-01-29,25.09,25.09,25.0,25.0,843
2019-01-30,25.22,25.485,25.22,25.485,663
2019-01-31,26.162,26.338,26.095,26.185,1595
2019-02-01,26.03,26.245,26.03,26.15,1700
2019-02-04,26.15,26.322,26.15,26.322,2433
2019-02-05,26.84,26.86,26.84,26.86,1001
2019-02-06,26.74,26.74,26.5436,26.56,2010
2019-02-07,26.19,26.19,26.19,26.19,211
2019-02-08,26.19,26.19,26.19,26.19,144
2019-02-11,26.13,26.16,26.06,26.06,1163
2019-02-12,26.29,26.44,26.29,26.3855,691
2019-02-13,26.3855,26.3855,26.3855,26.3855,382
2019-02-14,26.28,26.34,26.28,26.34,2030
2019-02-15,26.4118,26.44,26.4118,26.44,880
2019-02-19,26.525,26.525,26.525,26.525,306
2019-02-20,26.995,26.995,26.795,26.795,398
