,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,34.22,34.98,34.0,34.55,5.4401,277841,0.0,1.0
2010-01-05,34.62,34.92,33.8956,34.42,5.4196,225866,0.0,1.0
2010-01-06,34.38,34.73,34.01,34.22,5.3881,323433,0.0,1.0
2010-01-07,33.93,34.1499,33.13,33.68,5.3031,297218,0.0,1.0
2010-01-08,33.75,34.6246,33.3,34.54,5.4385,294467,0.0,1.0
2010-01-11,35.01,35.22,33.95,34.54,5.4385,546210,0.0,1.0
2010-01-12,34.1,34.1,31.85,32.5,5.1173,455021,0.0,1.0
2010-01-13,32.82,33.54,31.6,33.27,5.2385,457370,0.0,1.0
2010-01-14,33.45,33.79,32.84,33.55,5.2826,412978,0.0,1.0
2010-01-15,33.52,33.66,31.41,31.5,4.9598,487166,0.0,1.0
2010-01-19,31.01,32.46,31.0,32.27,5.0811,346792,0.0,1.0
2010-01-20,32.13,32.31,31.44,32.24,5.0764,320219,0.0,1.0
2010-01-21,32.51,33.17,31.31,31.79,5.0055,484811,0.0,1.0
2010-01-22,30.98,31.29,28.53,28.89,4.5489,866842,0.0,1.0
2010-01-25,29.23,30.0728,29.23,29.65,4.6685,488019,0.0,1.0
2010-01-26,29.09,29.98,29.01,29.06,4.5756,347552,0.0,1.0
2010-01-27,28.79,29.9891,28.64,29.8,4.6922,485547,0.0,1.0
2010-01-28,30.16,30.49,27.56,28.43,4.4764,716275,0.0,1.0
2010-01-29,28.83,29.17,26.1,26.58,4.1852,769509,0.0,1.0
2010-02-01,27.09,27.98,26.77,27.78,4.3741,485018,0.0,1.0
2010-02-02,27.98,28.87,27.5,28.6,4.5032,376165,0.0,1.0
2010-02-03,28.61,28.86,28.0,28.48,4.4843,308641,0.0,1.0
2010-02-04,27.9,27.94,26.13,26.27,4.1363,549097,0.0,1.0
2010-02-05,26.39,27.52,25.94,27.39,4.3127,719196,0.0,1.0
2010-02-08,27.57,28.3,26.79,27.15,4.2749,402361,0.0,1.0
2010-02-09,28.18,28.46,27.3601,27.86,4.3867,598529,0.0,1.0
2010-02-10,28.12,28.39,27.29,28.11,4.4261,362806,0.0,1.0
2010-02-11,27.96,29.52,27.69,29.28,4.6103,440221,0.0,1.0
2010-02-12,28.7,30.49,28.21,29.98,4.7205,572238,0.0,1.0
2010-02-16,30.14,31.3,30.14,31.09,4.8953,411339,0.0,1.0
2010-02-17,31.65,31.65,30.5,31.21,4.9142,440136,0.0,1.0
2010-02-18,30.69,31.43,30.46,31.31,4.9299,241445,0.0,1.0
2010-02-19,31.0,31.91,30.77,31.43,4.9488,370399,0.0,1.0
2010-02-22,31.96,31.96,31.1,31.38,4.9409,403421,0.0,1.0
2010-02-23,30.9,31.3299,29.48,29.84,4.6985,634354,0.0,1.0
2010-02-24,29.99,31.23,29.99,30.84,4.8559,370310,0.0,1.0
2010-02-25,29.92,30.71,29.2351,30.57,4.8134,399858,0.0,1.0
2010-02-26,30.6,30.65,29.87,30.51,4.804,289791,0.0,1.0
2010-03-01,31.0,31.98,30.9999,31.9,5.0228,265374,0.0,1.0
2010-03-02,32.25,32.5599,31.42,31.77,5.0023,301870,0.0,1.0
2010-03-03,31.8,32.19,31.016,31.26,4.922,159021,0.0,1.0
2010-03-04,31.4,31.48,30.49,31.29,4.9268,143309,0.0,1.0
2010-03-05,31.66,32.31,31.18,32.01,5.0401,195851,0.0,1.0
2010-03-08,32.2,32.3799,31.902,32.02,5.0417,88186,0.0,1.0
2010-03-09,31.61,32.6499,31.5,32.02,5.0417,135098,0.0,1.0
2010-03-10,32.05,33.38,32.05,33.06,5.2055,201826,0.0,1.0
2010-03-11,32.8,32.83,32.11,32.82,5.1677,123496,0.0,1.0
2010-03-12,32.91,33.19,32.49,32.68,5.1456,162392,0.0,1.0
2010-03-15,32.4,32.54,31.7,32.21,5.0716,194954,0.0,1.0
2010-03-16,32.4401,34.2299,32.4,34.0,5.3535,316110,0.0,1.0
2010-03-17,34.31,35.3,34.17,35.06,5.5204,349789,0.0,1.0
2010-03-18,34.99,35.17,34.0454,34.61,5.4495,203725,0.0,1.0
2010-03-19,34.61,34.7,33.22,33.6,5.2905,302712,0.0,1.0
2010-03-22,33.38,34.99,33.01,34.78,5.4763,299634,0.0,1.0
2010-03-23,34.78,34.78,34.78,34.78,5.4763,336400,0.0,1.0
2010-03-24,36.04,36.04,34.68,34.91,5.504,321334,0.0459,1.0
2010-03-25,35.57,35.9,34.65,34.68,5.4677,322544,0.0,1.0
2010-03-26,35.17,35.39,33.84,34.42,5.4267,313125,0.0,1.0
2010-03-29,34.82,35.18,34.5779,34.76,5.4803,209247,0.0,1.0
2010-03-30,34.88,35.5,34.4,35.01,5.5198,198350,0.0,1.0
2010-03-31,34.65,35.43,34.5,34.7,5.4709,228986,0.0,1.0
2010-04-01,35.32,36.0699,34.2,34.74,5.4772,303319,0.0,1.0
2010-04-05,35.46,36.43,34.93,36.25,5.7153,318665,0.0,1.0
2010-04-06,36.19,36.19,35.3601,35.83,5.649,179135,0.0,1.0
2010-04-07,35.83,36.61,35.25,36.02,5.679,192996,0.0,1.0
2010-04-08,35.67,35.67,34.754,35.3,5.5655,291685,0.0,1.0
2010-04-09,35.5,36.0,35.22,35.95,5.668,188816,0.0,1.0
2010-04-12,36.44,37.0099,36.02,36.49,5.7531,205482,0.0,1.0
2010-04-13,36.73,37.17,36.34,37.15,5.8572,180541,0.0,1.0
2010-04-14,38.92,40.16,38.79,40.02,6.3096,380439,0.0,1.0
2010-04-15,40.24,41.27,40.0,41.05,6.472,277590,0.0,1.0
2010-04-16,40.37,40.42,38.94,39.9,6.2907,352767,0.0,1.0
2010-04-19,39.36,39.91,37.83,39.41,6.2135,421140,0.0,1.0
2010-04-20,40.14,40.5399,39.3999,40.27,6.3491,277834,0.0,1.0
2010-04-21,40.62,40.82,38.3001,39.16,6.1741,282931,0.0,1.0
2010-04-22,38.31,40.335,37.35,40.15,6.3301,340453,0.0,1.0
2010-04-23,40.23,40.52,39.25,40.42,6.3727,238145,0.0,1.0
2010-04-26,40.65,41.16,40.18,40.4211,6.3729,203687,0.0,1.0
2010-04-27,40.0,40.39,37.96,38.13,6.0117,480746,0.0,1.0
2010-04-28,38.8,39.05,37.12,38.27,6.0337,441281,0.0,1.0
2010-04-29,38.68,39.31,38.24,39.21,6.1819,268632,0.0,1.0
2010-04-30,39.3,39.3,36.26,36.37,5.7342,482143,0.0,1.0
2010-05-03,36.96,38.23,36.67,37.74,5.9502,322793,0.0,1.0
2010-05-04,36.58,36.81,34.24,35.08,5.5308,465127,0.0,1.0
2010-05-05,34.05,35.28,33.32,34.47,5.4346,446796,0.0,1.0
2010-05-06,34.01,35.22,27.37,32.37,5.1035,649124,0.0,1.0
2010-05-07,32.0,32.65,28.89,31.18,4.9159,781295,0.0,1.0
2010-05-10,34.2,34.7216,33.6,34.68,5.4677,521502,0.0,1.0
2010-05-11,33.8,35.52,33.31,34.17,5.3873,277414,0.0,1.0
2010-05-12,34.98,36.48,34.611,36.48,5.7515,278405,0.0,1.0
2010-05-13,35.85,36.445,34.13,34.46,5.433,287732,0.0,1.0
2010-05-14,33.7,33.7,31.24,32.44,5.1146,528893,0.0,1.0
2010-05-17,32.42,33.3,31.17,33.25,5.2423,384029,0.0,1.0
2010-05-18,33.74,33.9115,31.05,31.36,4.9443,445957,0.0,1.0
2010-05-19,31.22,32.23,30.23,31.77,5.0089,492081,0.0,1.0
2010-05-20,30.31,31.16,28.91,29.72,4.6857,701254,0.0,1.0
2010-05-21,28.8,31.47,28.43,30.675,4.8363,557599,0.0,1.0
2010-05-24,30.8,31.05,29.75,29.81,4.6999,167401,0.0,1.0
2010-05-25,28.81,30.25,27.5303,30.24,4.7677,357805,0.0,1.0
2010-05-26,31.03,31.95,29.9,29.99,4.7283,298479,0.0,1.0
2010-05-27,31.39,32.95,31.36,32.9,5.1871,328041,0.0,1.0
2010-05-28,32.99,32.99,31.17,31.89,5.0278,243395,0.0,1.0
2010-06-01,31.33,32.63,30.64,30.75,4.8481,246189,0.0,1.0
2010-06-02,31.13,32.67,30.83,32.6,5.1398,227035,0.0,1.0
2010-06-03,33.02,33.4,32.15,33.267,5.2449,205241,0.0,1.0
2010-06-04,32.0,32.6372,30.1,30.4599,4.8024,303547,0.0,1.0
2010-06-07,30.8,30.8997,28.2299,28.35,4.4697,378435,0.0,1.0
2010-06-08,28.4,28.55,26.7605,28.16,4.4398,444486,0.0,1.0
2010-06-09,28.63,29.659,27.35,27.56,4.3452,335083,0.0,1.0
2010-06-10,28.4,29.47,28.4,29.47,4.6463,369484,0.0,1.0
2010-06-11,28.78,30.09,28.6,30.01,4.7314,169087,0.0,1.0
2010-06-14,30.8,31.43,30.3,30.37,4.7882,132006,0.0,1.0
2010-06-15,30.81,33.18,30.8,33.02,5.206,256039,0.0,1.0
2010-06-16,32.47,33.55,32.0638,33.19,5.2328,151531,0.0,1.0
2010-06-17,33.6,33.64,32.2,33.21,5.236,159490,0.0,1.0
2010-06-18,33.2,33.71,32.66,33.09,5.217,112356,0.0,1.0
2010-06-21,33.99,34.0,31.9999,32.37,5.1035,184107,0.0,1.0
2010-06-22,32.5,33.23,31.18,31.37,4.9488,226485,0.0185,1.0
2010-06-23,31.69,32.07,30.5,31.26,4.9314,356791,0.0,1.0
2010-06-24,30.81,31.15,29.45,29.7521,4.6935,218208,0.0,1.0
2010-06-25,29.81,30.05,28.65,29.73,4.6901,201198,0.0,1.0
2010-06-28,29.9,30.62,29.27,30.08,4.7453,152288,0.0,1.0
2010-06-29,28.95,29.0,27.36,27.8,4.3856,339026,0.0,1.0
2010-06-30,27.71,28.4099,26.6,26.77,4.2231,201955,0.0,1.0
2010-07-01,26.82,27.27,25.34,26.562,4.1903,319623,0.0,1.0
2010-07-02,26.58,26.8,25.48,26.29,4.1474,198538,0.0,1.0
