,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,55.55,55.94,55.48,55.8,50.325,270588,0.0,1.0
2010-01-05,55.81,55.881,55.41,55.74,50.2709,520739,0.0,1.0
2010-01-06,55.76,55.86,55.23,55.35,49.9192,222978,0.0,1.0
2010-01-07,55.29,55.33,54.9,55.14,49.7298,237057,0.0,1.0
2010-01-08,54.97,55.57,54.9,55.57,50.1176,168867,0.0,1.0
2010-01-11,55.71,55.79,55.03,55.33,49.9012,196110,0.0,1.0
2010-01-12,54.96,55.12,54.3864,54.6,49.2428,188495,0.0,1.0
2010-01-13,54.84,55.32,54.36,55.2,49.7839,313461,0.0,1.0
2010-01-14,55.12,55.68,55.02,55.55,50.0996,298574,0.0,1.0
2010-01-15,55.48,55.68,54.5899,54.86,49.4773,258186,0.0,1.0
2010-01-19,54.89,55.62,54.88,55.62,50.1627,319142,0.0,1.0
2010-01-20,55.26,55.26,54.28,54.899,49.5124,174166,0.0,1.0
2010-01-21,55.1,55.38,54.15,54.36,49.0263,212743,0.0,1.0
2010-01-22,54.12,54.1286,52.221,52.32,47.1865,363755,0.0,1.0
2010-01-25,52.75,52.98,52.36,52.65,47.4841,355990,0.0,1.0
2010-01-26,52.55,53.26,52.35,52.65,47.4841,200566,0.0,1.0
2010-01-27,52.5,53.1,52.13,52.96,47.7637,285365,0.0,1.0
2010-01-28,52.78,52.83,51.12,51.54,46.483,184226,0.0,1.0
2010-01-29,51.86,51.9999,50.151,50.38,45.4368,321946,0.0,1.0
2010-02-01,50.61,51.19,50.53,51.19,46.1674,427772,0.0,1.0
2010-02-02,51.26,51.74,50.94,51.6264,46.5609,346802,0.0,1.0
2010-02-03,51.34,51.88,51.28,51.78,46.6995,117285,0.0,1.0
2010-02-04,51.36,51.496,50.23,50.26,45.3286,175622,0.0,1.0
2010-02-05,50.33,50.79,49.8,50.73,45.7525,380772,0.0,1.0
2010-02-08,50.76,51.107,50.466,50.4751,45.5226,165126,0.0,1.0
2010-02-09,51.06,51.42,50.61,51.02,46.014,169630,0.0,1.0
2010-02-10,51.0,51.21,50.54,50.91,45.9148,313495,0.0,1.0
2010-02-11,50.87,51.68,50.62,51.58,46.5191,93967,0.0,1.0
2010-02-12,51.08,51.75,50.835,51.7,46.6273,265360,0.0,1.0
2010-02-16,52.0,52.51,51.85,52.44,47.2947,158961,0.0,1.0
2010-02-17,52.73,52.739,52.44,52.6801,47.5113,182075,0.0,1.0
2010-02-18,52.6,53.19,52.54,53.14,47.926,190523,0.0,1.0
2010-02-19,52.9,53.2862,52.7872,53.0824,47.8741,145464,0.0,1.0
2010-02-22,53.28,53.295,52.82,52.97,47.7727,258740,0.0,1.0
2010-02-23,52.82,52.9,51.96,52.26,47.1324,186080,0.0,1.0
2010-02-24,52.48,52.93,52.48,52.75,47.5743,186806,0.0,1.0
2010-02-25,52.02,52.637,51.68,52.59,47.43,142269,0.0,1.0
2010-02-26,52.62,52.7688,52.356,52.65,47.4841,92688,0.0,1.0
2010-03-01,52.88,53.51,52.834,53.5,48.2507,111479,0.0,1.0
