,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-09-09,51.25,51.25,50.57,50.66,84.3617,53026,0.0,1.0
2010-09-10,50.84,50.93,50.648,50.89,84.7447,17276,0.0,1.0
2010-09-13,51.48,51.57,51.25,51.53,85.8105,67505,0.0,1.0
2010-09-14,51.42,51.74,51.19,51.519,85.7922,118840,0.0,1.0
2010-09-15,51.31,51.69,51.2,51.65,86.0103,18566,0.0,1.0
2010-09-16,51.51,51.66,51.35,51.63,85.977,119161,0.0,1.0
2010-09-17,51.94,51.94,51.51,51.68,86.0603,98730,0.0,1.0
2010-09-20,51.87,52.52,51.73,52.52,87.4591,38012,0.0,1.0
2010-09-21,52.51,52.72,52.14,52.3599,87.1925,38573,0.0,1.0
2010-09-22,52.28,52.52,51.98,52.08,86.7264,36296,0.0,1.0
2010-09-23,51.66,52.17,51.56,51.6531,86.0155,66716,0.0,1.0
2010-09-24,51.97,52.45,51.934,52.42,87.7572,48253,0.279,1.0
2010-09-27,52.49,52.49,52.17,52.17,87.3387,30089,0.0,1.0
2010-09-28,52.159,52.51,51.71,52.51,87.9079,99706,0.0,1.0
2010-09-29,52.29,52.455,52.11,52.26,87.4893,31780,0.0,1.0
2010-09-30,52.6,52.84,51.98,52.18,87.3554,89414,0.0,1.0
2010-10-01,52.54,52.58,52.0824,52.36,87.6567,34130,0.0,1.0
2010-10-04,52.63,52.63,51.75,51.92,86.9201,177397,0.0,1.0
2010-10-05,52.51,53.1,52.41,53.058,88.8253,39671,0.0,1.0
2010-10-06,53.06,53.14,52.81,52.968,88.6746,553779,0.0,1.0
2010-10-07,53.25,53.25,52.66,52.94,88.6277,99737,0.0,1.0
2010-10-08,53.01,53.37,52.83,53.3399,89.2972,123038,0.0,1.0
2010-10-11,53.36,53.42,53.14,53.25,89.1467,28363,0.0,1.0
2010-10-12,53.19,53.62,52.87,53.56,89.6657,84038,0.0,1.0
2010-10-13,53.79,54.14,53.62,53.88,90.2014,148836,0.0,1.0
2010-10-14,53.85,53.909,53.4,53.68,89.8666,38149,0.0,1.0
2010-10-15,54.02,54.04,53.36,53.78,90.034,109826,0.0,1.0
2010-10-18,53.81,54.22,53.72,54.17,90.6869,45697,0.0,1.0
2010-10-19,53.57,53.84,53.01,53.3101,89.2473,77096,0.0,1.0
2010-10-20,53.47,54.08,53.47,53.88,90.2014,45597,0.0,1.0
2010-10-21,54.13,54.378,53.655,53.96,90.3353,58735,0.0,1.0
2010-10-22,54.08,54.1,53.97,54.09,90.553,49693,0.0,1.0
2010-10-25,54.51,54.64,54.23,54.25,90.8208,59126,0.0,1.0
2010-10-26,53.96,54.276,53.94,54.24,90.8041,29953,0.0,1.0
2010-10-27,53.87,54.11,53.61,54.07,90.5195,34213,0.0,1.0
2010-10-28,54.38,54.41,53.88,54.11,90.5864,38458,0.0,1.0
2010-10-29,54.05,54.21,54.0,54.15,90.6534,26717,0.0,1.0
2010-11-01,54.46,54.71,53.88,54.18,90.7036,103008,0.0,1.0
2010-11-02,54.61,54.71,54.429,54.6,91.4068,52154,0.0,1.0
2010-11-03,54.71,54.83,54.16,54.83,91.7918,63665,0.0,1.0
2010-11-04,55.45,55.9,55.37,55.86,93.5162,97934,0.0,1.0
2010-11-05,55.95,56.15,55.84,56.08,93.8845,96535,0.0,1.0
2010-11-08,55.94,56.04,55.75,56.01,93.7673,86798,0.0,1.0
2010-11-09,56.09,56.15,55.398,55.57,93.0307,71346,0.0,1.0
2010-11-10,55.58,55.8,55.16,55.78,93.3822,56352,0.0,1.0
2010-11-11,55.34,55.64,55.2118,55.6,93.0809,47947,0.0,1.0
2010-11-12,55.2,55.43,54.69,54.9099,91.9256,78896,0.0,1.0
2010-11-15,55.15,55.2605,54.82,54.86,91.842,405455,0.0,1.0
2010-11-16,54.51,54.51,53.7372,53.98,90.3688,65610,0.0,1.0
2010-11-17,54.03,54.226,53.89,54.02,90.4358,84806,0.0,1.0
2010-11-18,54.5401,54.96,54.5401,54.82,91.7751,52115,0.0,1.0
2010-11-19,54.7501,54.97,54.517,54.95,91.9927,40488,0.0,1.0
2010-11-22,54.71,54.902,54.29,54.9,91.909,50661,0.0,1.0
2010-11-23,54.28,54.32,53.962,54.13,90.6199,284789,0.0,1.0
2010-11-24,54.47,54.8862,54.47,54.8295,91.791,60143,0.0,1.0
2010-11-26,54.48,54.7,54.41,54.52,91.2728,65247,0.0,1.0
2010-11-29,54.18,54.58,53.83,54.467,91.1841,91905,0.0,1.0
2010-11-30,53.98,54.43,53.91,54.09,90.553,183828,0.0,1.0
2010-12-01,54.96,55.37,54.94,55.31,92.5954,66612,0.0,1.0
2010-12-02,55.37,56.05,55.37,56.03,93.8008,121207,0.0,1.0
2010-12-03,55.83,56.23,55.82,56.17,94.0351,368107,0.0,1.0
2010-12-06,56.08,56.21,56.0,56.1,93.9179,128230,0.0,1.0
