,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,56.86,57.3799,56.84,57.31,47.6628,2251461,0.0,1.0
2010-01-05,57.34,57.54,57.11,57.53,47.8458,1597643,0.0,1.0
2010-01-06,57.5,57.715,57.41,57.61,47.9123,2120206,0.0,1.0
2010-01-07,57.55,57.889,57.29,57.85,48.1119,1656639,0.0,1.0
2010-01-08,57.7,58.0461,57.56,58.04,48.2699,1649919,0.0,1.0
2010-01-11,58.3,58.35,57.85,58.12,48.3364,1883013,0.0,1.0
2010-01-12,57.75,57.82,57.3,57.52,47.8374,1730026,0.0,1.0
2010-01-13,57.71,58.18,57.36,58.06,48.2865,1825157,0.0,1.0
2010-01-14,58.02,58.275,57.94,58.16,48.3697,1667014,0.0,1.0
2010-01-15,58.1,58.15,57.3016,57.5,47.8208,2785824,0.0,1.0
2010-01-19,57.55,58.29,57.52,58.26,48.4529,2546626,0.0,1.0
2010-01-20,57.9,57.9,57.21,57.72,48.0038,2755045,0.0,1.0
2010-01-21,57.72,57.91,56.57,56.66,47.1222,4350660,0.0,1.0
2010-01-22,56.4,56.6,55.31,55.41,46.0826,4422670,0.0,1.0
2010-01-25,55.88,55.965,55.4601,55.65,46.2822,2781032,0.0,1.0
2010-01-26,55.45,55.9899,55.2701,55.4,46.0743,1702725,0.0,1.0
2010-01-27,55.3,55.75,54.87,55.67,46.2989,2077641,0.0,1.0
2010-01-28,55.89,55.89,54.65,55.01,45.75,2235012,0.0,1.0
2010-01-29,55.24,55.65,54.28,54.36,45.2094,2421732,0.0,1.0
2010-02-01,54.72,55.238,54.7,55.19,45.8997,2132711,0.0,1.0
2010-02-02,55.34,56.03,55.13,55.9,46.4901,2565462,0.0,1.0
2010-02-03,55.67,55.92,55.43,55.62,46.2573,1352513,0.0,1.0
2010-02-04,55.17,55.18,53.86,53.89,44.8185,3029617,0.0,1.0
2010-02-05,53.88,54.07,52.82,53.98,44.8933,5416145,0.0,1.0
2010-02-08,54.02,54.3,53.54,53.56,44.544,1494287,0.0,1.0
2010-02-09,54.16,54.7,53.75,54.27,45.1345,2191410,0.0,1.0
2010-02-10,54.2,54.46,53.696,54.19,45.068,1340710,0.0,1.0
2010-02-11,54.07,54.8399,53.7626,54.77,45.5504,1302282,0.0,1.0
2010-02-12,54.22,54.81,54.0,54.77,45.5504,2189026,0.0,1.0
2010-02-16,55.24,55.7687,55.04,55.69,46.3155,1186410,0.0,1.0
2010-02-17,55.99,56.08,55.7399,56.0,46.5733,1935984,0.0,1.0
2010-02-18,55.94,56.435,55.87,56.32,46.8394,1537330,0.0,1.0
2010-02-19,56.15,56.67,56.065,56.52,47.0058,1862941,0.0,1.0
2010-02-22,56.71,56.72,56.32,56.43,46.9309,3049478,0.0,1.0
2010-02-23,56.31,56.48,55.61,55.75,46.3654,2144629,0.0,1.0
2010-02-24,55.93,56.34,55.79,56.25,46.7812,1689025,0.0,1.0
2010-02-25,55.46,56.24,55.29,56.23,46.7646,2956042,0.0,1.0
2010-02-26,56.22,56.41,55.91,56.23,46.7646,1272565,0.0,1.0
2010-03-01,56.49,56.94,56.47,56.9,47.3218,1580069,0.0,1.0
2010-03-02,57.17,57.37,57.0,57.08,47.4715,1988835,0.0,1.0
2010-03-03,57.28,57.518,57.04,57.15,47.5297,1616798,0.0,1.0
2010-03-04,57.28,57.4,57.01,57.3,47.6545,1636596,0.0,1.0
2010-03-05,57.74,58.2267,57.56,58.21,48.4113,2699097,0.0,1.0
2010-03-08,58.22,58.35,58.1123,58.22,48.4196,2027597,0.0,1.0
2010-03-09,58.05,58.61,58.02,58.34,48.5194,4736853,0.0,1.0
2010-03-10,58.41,58.78,58.34,58.65,48.7772,1949569,0.0,1.0
2010-03-11,58.44,58.88,58.27,58.87,48.9602,2391616,0.0,1.0
2010-03-12,59.14,59.15,58.7,58.87,48.9602,1227534,0.0,1.0
2010-03-15,58.81,58.9,58.42,58.85,48.9436,1624806,0.0,1.0
2010-03-16,58.98,59.3901,58.855,59.33,49.3428,1047755,0.0,1.0
2010-03-17,59.53,59.93,59.51,59.71,49.6588,2022827,0.0,1.0
2010-03-18,59.74,59.8,59.42,59.64,49.6006,2714612,0.0,1.0
2010-03-19,59.83,59.83,59.04,59.25,49.2762,2010401,0.0,1.0
2010-03-22,58.91,59.74,58.86,59.67,49.6255,1643054,0.0,1.0
2010-03-23,59.76,60.13,59.53,60.09,49.9748,2298474,0.0,1.0
2010-03-24,59.9,60.05,59.68,59.74,49.6837,1569000,0.0,1.0
2010-03-25,59.93,60.17,59.315,59.4,49.5973,2436920,0.236,1.0
2010-03-26,59.49,59.7805,59.1,59.39,49.5889,1206273,0.0,1.0
2010-03-29,59.65,59.835,59.55,59.74,49.8811,2434649,0.0,1.0
