,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,38.18,38.5734,38.18,38.5,28.8191,65547,0.0,1.0
2010-01-05,38.45,38.53,38.35,38.5,28.8191,47074,0.0,1.0
2010-01-06,38.48,38.6,38.4756,38.58,28.879,113009,0.0,1.0
2010-01-07,38.48,38.66,38.35,38.65,28.9314,45016,0.0,1.0
2010-01-08,38.49,38.73,38.49,38.72,28.9838,49272,0.0,1.0
2010-01-11,38.9,38.94,38.73,38.91,29.126,58044,0.0,1.0
2010-01-12,38.7,38.81,38.5878,38.68,28.9538,55706,0.0,1.0
2010-01-13,38.83,39.07,38.7,39.01,29.2009,97080,0.0,1.0
2010-01-14,38.94,39.1,38.92,39.07,29.2458,46316,0.0,1.0
2010-01-15,39.0,39.0,38.5,38.72,28.9838,77656,0.0,1.0
2010-01-19,38.7,39.14,38.68,39.14,29.2982,80449,0.0,1.0
2010-01-20,38.91,38.91,38.5,38.79,29.0362,85249,0.0,1.0
2010-01-21,38.78,38.83,38.0,38.03,28.4673,96038,0.0,1.0
2010-01-22,37.92,38.02,37.3381,37.34,27.9508,122305,0.0,1.0
2010-01-25,37.73,37.73,37.43,37.52,28.0855,136368,0.0,1.0
2010-01-26,37.38,37.68,37.25,37.42,28.0107,70334,0.0,1.0
2010-01-27,37.29,37.54,37.11,37.52,28.0855,74919,0.0,1.0
2010-01-28,37.62,37.68,36.92,37.1578,27.8144,66746,0.0,1.0
2010-01-29,37.3,37.48,36.75,36.83,27.569,121228,0.0,1.0
2010-02-01,37.06,37.27,36.996,37.27,27.8984,85509,0.0,1.0
2010-02-02,37.3,37.8373,37.25,37.82,28.3101,64153,0.0,1.0
2010-02-03,37.62,37.72,37.45,37.5318,28.0944,65731,0.0,1.0
2010-02-04,37.29,37.29,36.5,36.51,27.3295,86202,0.0,1.0
2010-02-05,36.62,36.62,35.84,36.52,27.337,197282,0.0,1.0
2010-02-08,36.53,36.626,36.2,36.2,27.0974,81762,0.0,1.0
2010-02-09,36.62,36.9,36.4,36.68,27.4567,68995,0.0,1.0
2010-02-10,36.64,36.78,36.3401,36.64,27.4268,33451,0.0,1.0
2010-02-11,36.57,37.0,36.41,36.97,27.6738,82423,0.0,1.0
2010-02-12,36.58,36.95,36.48,36.95,27.6589,160738,0.0,1.0
2010-02-16,37.26,37.57,37.1001,37.53,28.093,108097,0.0,1.0
2010-02-17,37.73,37.739,37.5452,37.66,28.1903,66945,0.0,1.0
2010-02-18,37.66,37.94,37.6001,37.93,28.3924,63788,0.0,1.0
2010-02-19,37.85,38.1,37.75,38.02,28.4598,58727,0.0,1.0
2010-02-22,38.13,38.17,37.89,37.96,28.4149,99705,0.0,1.0
2010-02-23,37.91,37.969,37.52,37.57,28.123,86389,0.0,1.0
2010-02-24,37.7,37.926,37.5732,37.8804,28.3553,72389,0.0,1.0
2010-02-25,37.4,37.76,37.27,37.7599,28.2651,92890,0.0,1.0
2010-02-26,37.81,37.856,37.58,37.73,28.2427,45145,0.0,1.0
2010-03-01,37.88,38.1,37.86,38.06,28.4897,122084,0.0,1.0
2010-03-02,38.25,38.3,38.1,38.18,28.5796,240224,0.0,1.0
2010-03-03,38.3,38.389,38.11,38.16,28.5646,89298,0.0,1.0
2010-03-04,38.19,38.32,38.08,38.28,28.6544,170076,0.0,1.0
2010-03-05,38.53,38.78,38.4,38.75,29.0062,74797,0.0,1.0
2010-03-08,38.8,38.83,38.7001,38.75,29.0062,106528,0.0,1.0
2010-03-09,38.65,38.94,38.6499,38.81,29.0512,133112,0.0,1.0
2010-03-10,38.83,38.96,38.77,38.91,29.126,159515,0.0,1.0
2010-03-11,38.81,39.03,38.68,39.03,29.2158,121782,0.0,1.0
2010-03-12,39.21,39.21,38.91,39.038,29.2218,69699,0.0,1.0
2010-03-15,39.01,39.2,38.94,39.166,29.3176,151515,0.0,1.0
2010-03-16,39.32,39.49,39.18,39.47,29.5452,67804,0.0,1.0
2010-03-17,39.59,39.81,39.55,39.7,29.7174,105463,0.0,1.0
2010-03-18,39.76,39.76,39.58,39.73,29.7398,65200,0.0,1.0
2010-03-19,39.87,39.87,39.4,39.57,29.6201,66692,0.0,1.0
