,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2016-01-14,49.92,49.92,49.92,49.92,47.4191,140,0.0,1.0
2016-01-15,49.13,49.13,49.13,49.13,46.6687,1288,0.0,1.0
2016-01-19,49.095,49.095,49.095,49.095,46.6354,150,0.0,1.0
2016-01-20,47.75,47.75,47.75,47.75,45.3578,241,0.0,1.0
2016-01-21,49.4799,49.4799,49.4799,49.4799,47.0011,350,0.0,1.0
2016-01-22,49.66,49.77,49.66,49.77,47.2766,1468,0.0,1.0
2016-01-25,49.5,49.5,49.5,49.5,47.0202,301,0.0,1.0
2016-01-26,49.279,49.279,49.22,49.22,46.7542,390,0.0,1.0
2016-01-27,49.0699,49.0699,48.8499,48.8499,46.4026,532,0.0,1.0
2016-01-28,47.97,48.11,47.97,48.04,45.6333,1370,0.0,1.0
2016-01-29,48.04,48.04,48.04,48.04,45.6333,41,0.0,1.0
2016-02-01,49.61,49.61,49.61,49.61,47.1246,100,0.0,1.0
2016-02-02,49.61,49.61,49.61,49.61,47.1246,0,0.0,1.0
2016-02-03,47.93,48.4,47.61,48.4,45.9753,1330,0.0,1.0
2016-02-04,48.68,48.82,48.68,48.82,46.3742,229,0.0,1.0
2016-02-05,48.82,48.82,48.82,48.82,46.3742,207,0.0,1.0
2016-02-08,48.82,48.82,48.82,48.82,46.3742,45,0.0,1.0
2016-02-09,43.77,44.4,43.59,43.6,41.4157,1056,0.0,1.0
2016-02-10,44.17,44.17,43.71,43.71,41.5202,350,0.0,1.0
2016-02-11,43.63,43.63,43.63,43.63,41.4442,100,0.0,1.0
2016-02-12,43.63,43.63,43.63,43.63,41.4442,25,0.0,1.0
2016-02-16,45.39,46.39,45.39,46.39,44.066,871,0.0,1.0
2016-02-17,47.23,47.48,47.23,47.47,45.0919,729,0.0,1.0
2016-02-18,48.2199,48.2199,48.2199,48.2199,45.8042,200,0.0,1.0
2016-02-19,47.3,47.3,47.3,47.3,44.9304,500,0.0,1.0
2016-02-22,48.46,48.59,48.46,48.59,46.1557,650,0.0,1.0
2016-02-23,48.48,48.48,48.01,48.06,45.6523,612,0.0,1.0
2016-02-24,47.75,47.75,47.75,47.75,45.3578,310,0.0,1.0
2016-02-25,48.69,48.69,48.1,48.61,46.1747,600,0.0,1.0
2016-02-26,48.61,48.61,48.61,48.61,46.1747,240,0.0,1.0
2016-02-29,50.43,50.43,49.62,49.62,47.1341,1002,0.0,1.0
2016-03-01,50.36,50.3758,50.36,50.3758,47.8521,550,0.0,1.0
2016-03-02,50.73,50.76,50.2594,50.73,48.1885,1020,0.0,1.0
2016-03-03,51.27,51.27,51.27,51.27,48.7015,170,0.0,1.0
2016-03-04,51.07,52.29,51.07,51.68,49.0909,1554,0.0,1.0
2016-03-07,51.68,51.68,51.68,51.68,49.0909,79,0.0,1.0
2016-03-08,51.24,51.24,50.78,50.78,48.236,401,0.0,1.0
2016-03-09,50.7899,50.7899,50.73,50.73,48.1885,371,0.0,1.0
2016-03-10,51.55,51.55,49.79,50.21,47.6946,1954,0.0,1.0
2016-03-11,50.656,50.656,50.656,50.656,48.1182,240,0.0,1.0
2016-03-14,51.41,51.51,51.41,51.51,48.9295,300,0.0,1.0
2016-03-15,50.7496,50.7496,50.7496,50.7496,48.2072,141,0.0,1.0
2016-03-16,51.22,52.16,50.42,51.14,48.578,1304,0.0,1.0
2016-03-17,51.7,51.7,51.6999,51.6999,49.1098,703,0.0,1.0
2016-03-18,52.02,52.47,52.02,52.3043,49.684,1553,0.0,1.0
2016-03-21,52.3043,52.3043,52.3043,52.3043,49.684,61,0.0,1.0
2016-03-22,52.64,52.7,52.51,52.51,49.8794,1971,0.0,1.0
2016-03-23,52.91,52.91,51.26,51.26,48.692,1420,0.0,1.0
2016-03-24,50.67,51.29,50.67,51.25,48.6825,2393,0.0,1.0
2016-03-28,51.25,51.25,51.25,51.25,48.6825,15,0.0,1.0
2016-03-29,52.15,52.36,51.38,52.36,49.7369,2149,0.0,1.0
2016-03-30,52.7399,52.78,52.73,52.7799,50.1357,1744,0.0,1.0
2016-03-31,53.05,53.05,52.72,52.83,50.1833,1894,0.0,1.0
2016-04-01,52.79,52.79,52.79,52.79,50.1453,578,0.0,1.0
2016-04-04,52.786,53.18,52.786,52.9,50.2498,3712,0.0,1.0
2016-04-05,52.49,52.55,52.43,52.46,49.8319,562,0.0,1.0
2016-04-06,52.686,53.41,52.686,53.41,50.7343,1994,0.0,1.0
2016-04-07,52.99,52.99,52.54,52.66,50.0218,1300,0.0,1.0
2016-04-08,53.09,53.09,52.48,52.62,49.9839,1068,0.0,1.0
2016-04-11,52.81,52.81,52.36,52.36,49.7369,1886,0.0,1.0
2016-04-12,52.2,52.48,52.16,52.38,49.7559,2024,0.0,1.0
2016-04-13,53.5699,53.75,53.5699,53.69,51.0002,510,0.0,1.0
2016-04-14,53.44,53.67,53.44,53.67,50.9813,2463,0.0,1.0
2016-04-15,53.67,53.67,53.67,53.67,50.9813,0,0.0,1.0
2016-04-18,53.81,53.99,53.81,53.99,51.2852,340,0.0,1.0
2016-04-19,53.82,53.82,53.5,53.56,50.8768,1161,0.0,1.0
2016-04-20,54.17,54.39,54.1699,54.25,51.5322,2420,0.0,1.0
2016-04-21,54.25,54.25,54.25,54.25,51.5322,89,0.0,1.0
2016-04-22,54.11,54.11,54.11,54.11,51.3992,290,0.0,1.0
2016-04-25,54.15,54.16,54.0,54.0,51.2947,1422,0.0,1.0
2016-04-26,54.44,54.44,54.05,54.26,51.5417,3202,0.0,1.0
2016-04-27,55.31,55.31,53.94,54.02,51.3137,694,0.0,1.0
2016-04-28,54.02,54.02,54.02,54.02,51.3137,10,0.0,1.0
2016-04-29,54.02,54.02,54.02,54.02,51.3137,0,0.0,1.0
2016-05-02,53.406,53.8685,53.406,53.8685,51.1698,878,0.0,1.0
2016-05-03,52.9295,52.9995,52.9295,52.9995,50.3443,508,0.0,1.0
2016-05-04,52.68,52.68,52.68,52.68,50.0408,400,0.0,1.0
2016-05-05,52.71,52.71,52.66,52.66,50.0218,210,0.0,1.0
2016-05-06,51.69,51.97,51.3199,51.97,49.3664,1414,0.0,1.0
2016-05-09,51.95,51.95,51.95,51.95,49.3474,644,0.0,1.0
2016-05-10,52.76,52.76,51.94,52.105,49.4947,3000,0.0,1.0
2016-05-11,52.6,52.64,52.49,52.55,49.9174,853,0.0,1.0
2016-05-12,52.55,52.55,52.55,52.55,49.9174,20,0.0,1.0
2016-05-13,51.8799,51.9001,51.8799,51.9001,49.3,311,0.0,1.0
2016-05-16,52.35,52.36,52.35,52.36,49.7369,1400,0.0,1.0
2016-05-17,52.452,52.53,52.452,52.53,49.8984,591,0.0,1.0
2016-05-18,52.5,52.5,52.25,52.25,49.6324,300,0.0,1.0
2016-05-19,51.63,51.695,51.5943,51.63,49.0435,4823,0.0,1.0
2016-05-20,51.63,51.63,51.63,51.63,49.0435,20,0.0,1.0
2016-05-23,52.885,52.885,52.82,52.87,50.2213,1520,0.0,1.0
2016-05-24,53.11,53.87,53.11,53.84,51.1427,1740,0.0,1.0
2016-05-25,53.78,53.78,53.78,53.78,51.0857,101,0.0,1.0
2016-05-26,53.4922,53.73,53.4922,53.73,51.0382,668,0.0,1.0
2016-05-27,54.311,54.311,54.311,54.311,51.5901,150,0.0,1.0
2016-05-31,55.12,55.12,55.1096,55.1096,52.3487,1040,0.0,1.0
2016-06-01,55.19,55.86,55.19,55.8569,53.0586,3420,0.0,1.0
2016-06-02,56.2015,56.2015,56.2015,56.2015,53.3859,189,0.0,1.0
2016-06-03,56.2015,56.2015,56.2015,56.2015,53.3859,160,0.0,1.0
2016-06-06,56.55,56.56,56.55,56.56,53.7265,900,0.0,1.0
2016-06-07,56.812,56.82,56.812,56.82,53.9734,416,0.0,1.0
2016-06-08,56.94,57.0,56.8,57.0,54.1444,887,0.0,1.0
2016-06-09,56.62,56.62,56.62,56.62,53.7835,510,0.0,1.0
2016-06-10,55.445,55.46,55.4232,55.46,52.6816,502,0.0,1.0
2016-06-13,55.46,55.46,55.46,55.46,52.6816,221,0.0,1.0
2016-06-14,55.37,55.37,55.13,55.13,52.3681,711,0.0,1.0
2016-06-15,56.03,56.07,55.995,56.04,53.2325,1149,0.0,1.0
2016-06-16,56.04,56.04,56.04,56.04,53.2325,6,0.0,1.0
2016-06-17,55.14,55.14,55.14,55.14,52.3776,500,0.0,1.0
2016-06-20,56.14,56.14,56.14,56.14,53.3275,402,0.0,1.0
2016-06-21,56.08,56.1499,55.99,56.085,53.2753,2952,0.0,1.0
2016-06-22,56.77,56.77,56.77,56.77,53.9259,117,0.0,1.0
2016-06-23,56.77,56.77,56.77,56.77,53.9259,0,0.0,1.0
2016-06-24,56.77,56.77,56.77,56.77,53.9259,0,0.0,1.0
2016-06-27,53.5,53.5,52.0,52.0,49.3949,1635,0.0,1.0
2016-06-28,52.8934,52.8934,52.7799,52.7799,50.1357,280,0.0,1.0
