,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,23.14,23.29,23.1,23.27,19.8926,8449375,0.0,1.0
2010-01-05,23.3,23.3,23.1,23.24,19.867,19988002,0.0,1.0
2010-01-06,23.24,23.25,22.96,22.98,19.6447,10024014,0.0,1.0
2010-01-07,23.0,23.0,22.81,22.89,19.5678,7292326,0.0,1.0
2010-01-08,22.86,23.06,22.7801,23.04,19.696,11886159,0.0,1.0
2010-01-11,23.14,23.15,22.84,22.95,19.6191,15238856,0.0,1.0
2010-01-12,22.82,22.85,22.61,22.7,19.4054,9742618,0.0,1.0
2010-01-13,22.8,22.95,22.6,22.92,19.5934,10053633,0.0,1.0
2010-01-14,22.9,23.058,22.87,22.98,19.6447,7505700,0.0,1.0
2010-01-15,23.02,23.04,22.59,22.66,19.3712,13533257,0.0,1.0
2010-01-19,22.71,23.05,22.71,23.05,19.7046,7482371,0.0,1.0
2010-01-20,22.87,22.87,22.47,22.68,19.3883,14698952,0.0,1.0
2010-01-21,22.75,22.86,22.37,22.44,19.1831,12803370,0.0,1.0
2010-01-22,22.4,22.4,21.63,21.66,18.5163,33701158,0.0,1.0
2010-01-25,21.86,21.98,21.72,21.84,18.6702,33340054,0.0,1.0
2010-01-26,21.8,22.05,21.68,21.78,18.6189,16114257,0.0,1.0
2010-01-27,21.79,22.01,21.63,21.96,18.7728,17684927,0.0,1.0
2010-01-28,21.85,21.88,21.24,21.33,18.2342,23139274,0.0,1.0
2010-01-29,21.53,21.56,20.86,20.959,17.917,26897383,0.0,1.0
2010-02-01,21.06,21.25,21.05,21.2,18.1231,19207446,0.0,1.0
2010-02-02,21.27,21.47,21.15,21.41,18.3026,13695574,0.0,1.0
2010-02-03,21.33,21.51,21.3084,21.46,18.3453,14782226,0.0,1.0
2010-02-04,21.33,21.37,20.84,20.86,17.8324,16489074,0.0,1.0
2010-02-05,20.89,21.11,20.71,21.07,18.0119,23241632,0.0,1.0
2010-02-08,21.1,21.22,20.95,20.98,17.935,22943793,0.0,1.0
2010-02-09,21.21,21.36,21.02,21.16,18.0889,15887376,0.0,1.0
2010-02-10,21.21,21.24,20.97,21.1,18.0376,10423313,0.0,1.0
2010-02-11,21.1,21.4,20.95,21.32,18.2256,15174728,0.0,1.0
2010-02-12,21.17,21.3985,21.04,21.36,18.2598,15142984,0.0,1.0
2010-02-16,21.49,21.68,21.43,21.68,18.5334,10233285,0.0,1.0
2010-02-17,21.78,21.78,21.63,21.74,18.5847,8903296,0.0,1.0
2010-02-18,21.73,21.92,21.68,21.88,18.7044,5758240,0.0,1.0
2010-02-19,21.76,21.93,21.73,21.82,18.6531,6767797,0.0,1.0
2010-02-22,21.93,21.94,21.74,21.78,18.6189,7037284,0.0,1.0
2010-02-23,21.76,21.77,21.42,21.51,18.3881,10485631,0.0,1.0
2010-02-24,21.61,21.79,21.588,21.72,18.5676,7538968,0.0,1.0
2010-02-25,21.44,21.7,21.3,21.66,18.5163,11657436,0.0,1.0
2010-02-26,21.66,21.75,21.56,21.69,18.5419,9701918,0.0,1.0
2010-03-01,21.8,21.99,21.76,21.97,18.7813,6421745,0.0,1.0
2010-03-02,22.07,22.11,21.87,21.94,18.7557,7011811,0.0,1.0
2010-03-03,22.0,22.06,21.8899,21.95,18.7642,8331239,0.0,1.0
2010-03-04,21.98,22.0599,21.8219,22.04,18.8411,3622148,0.0,1.0
2010-03-05,22.2,22.34,22.12,22.31,19.072,7047807,0.0,1.0
2010-03-08,22.35,22.47,22.32,22.43,19.1745,5859348,0.0,1.0
2010-03-09,22.4,22.67,22.36,22.53,19.26,12001889,0.0,1.0
2010-03-10,22.54,22.72,22.52,22.68,19.3883,16908403,0.0,1.0
2010-03-11,22.62,22.77,22.58,22.77,19.4652,5454360,0.0,1.0
2010-03-12,22.83,22.9627,22.69,22.75,19.4481,7459202,0.0,1.0
2010-03-15,22.67,22.76,22.56,22.73,19.431,8781979,0.0,1.0
2010-03-16,22.73,22.905,22.71,22.9,19.5763,6614728,0.0,1.0
2010-03-17,22.93,23.1,22.88,22.97,19.6362,9808481,0.0,1.0
2010-03-18,22.97,22.97,22.97,22.97,19.6362,4501600,0.0,1.0
2010-03-19,23.02,23.03,22.69,22.79,19.5448,9042791,0.0731,1.0
2010-03-22,22.68,23.06,22.66,22.96,19.6906,8430794,0.0,1.0
2010-03-23,23.04,23.2,22.94,23.18,19.8792,5978388,0.0,1.0
2010-03-24,23.07,23.14,23.0,23.07,19.7849,5877094,0.0,1.0
2010-03-25,23.22,23.38,23.06,23.11,19.8192,8330168,0.0,1.0
2010-03-26,23.17,23.2,22.95,23.0,19.7249,8580551,0.0,1.0
2010-03-29,23.1,23.2,23.04,23.07,19.7849,7747108,0.0,1.0
2010-03-30,23.13,23.25,23.03,23.17,19.8707,5314469,0.0,1.0
2010-03-31,23.1,23.18,23.0,23.1,19.8106,4678200,0.0,1.0
2010-04-01,23.16,23.29,22.9,23.06,19.7763,9106692,0.0,1.0
2010-04-05,23.14,23.34,22.9273,23.33,20.0079,4849584,0.0,1.0
2010-04-06,23.25,23.41,23.16,23.35,20.025,5071830,0.0,1.0
2010-04-07,23.28,23.378,23.14,23.26,19.9479,5710208,0.0,1.0
2010-04-08,23.18,23.33,23.07,23.3,19.9822,8455145,0.0,1.0
2010-04-09,23.35,23.49,23.27,23.48,20.1365,5488999,0.0,1.0
2010-04-12,23.5,23.61,23.48,23.53,20.1794,4160325,0.0,1.0
2010-04-13,23.5,23.64,23.42,23.6,20.2394,5924235,0.0,1.0
2010-04-14,23.79,23.95,23.75,23.94,20.531,14981241,0.0,1.0
2010-04-15,23.96,24.06,23.89,24.05,20.6254,9488918,0.0,1.0
2010-04-16,23.91,24.02,23.61,23.73,20.3509,15204221,0.0,1.0
2010-04-19,23.69,23.82,23.52,23.78,20.3938,8766745,0.0,1.0
2010-04-20,23.86,23.96,23.72,23.91,20.5053,6943427,0.0,1.0
2010-04-21,24.05,24.08,23.8407,23.96,20.5482,9400287,0.0,1.0
2010-04-22,23.73,24.04,23.56,24.02,20.5996,10010955,0.0,1.0
2010-04-23,24.01,24.11,23.87,24.08,20.6511,12870167,0.0,1.0
2010-04-26,24.13,24.16,24.02,24.05,20.6254,9812814,0.0,1.0
2010-04-27,23.95,24.06,23.535,23.58,20.2223,28248989,0.0,1.0
2010-04-28,23.73,23.73,23.44,23.65,20.2823,12760620,0.0,1.0
2010-04-29,23.76,23.93,23.71,23.89,20.4881,9053559,0.0,1.0
2010-04-30,23.87,23.91,23.38,23.389,20.0585,10547579,0.0,1.0
2010-05-03,23.46,23.8018,23.46,23.71,20.3338,6884403,0.0,1.0
2010-05-04,23.43,23.46,22.89,23.03,19.7506,14840297,0.0,1.0
2010-05-05,22.8,23.085,22.78,22.93,19.6648,13450229,0.0,1.0
2010-05-06,22.77,22.99,20.64,22.24,19.0731,25521977,0.0,1.0
2010-05-07,22.14,22.3081,21.25,21.75,18.6529,25222086,0.0,1.0
2010-05-10,22.69,22.85,22.53,22.75,19.5105,23388138,0.0,1.0
2010-05-11,22.51,23.0,22.49,22.6,19.3818,12864983,0.0,1.0
