,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,58.16,58.51,57.99,58.27,20.4007,16453,0.0,1.0
2010-01-05,58.3,58.47,57.96,58.29,20.4077,18335,0.0,1.0
2010-01-06,58.26,58.26,57.7565,57.93,20.2817,20686,0.0,1.0
2010-01-07,57.78,57.79,57.48,57.65,20.1837,37501,0.0,1.0
2010-01-08,57.64,58.026,57.42,58.01,20.3097,100651,0.0,1.0
2010-01-11,58.15,58.18,57.554,57.882,20.2649,12407,0.0,1.0
2010-01-12,57.49,57.49,56.8698,57.13,20.0016,16182,0.0,1.0
2010-01-13,57.51,58.0955,57.13,57.96,20.2922,16275,0.0,1.0
2010-01-14,57.88,58.239,57.88,58.15,20.3587,12549,0.0,1.0
2010-01-15,58.06,58.18,57.1499,57.41,20.0996,79974,0.0,1.0
2010-01-19,57.35,58.042,57.35,58.0,20.3062,18537,0.0,1.0
2010-01-20,57.41,57.41,56.56,57.09,19.9876,11669,0.0,1.0
2010-01-21,57.4,57.81,56.52,56.67,19.8405,22536,0.0,1.0
2010-01-22,56.54,56.54,54.92,54.92,19.2279,24542,0.0,1.0
2010-01-25,55.26,55.48,54.9176,55.16,19.3119,16939,0.0,1.0
2010-01-26,54.75,55.54,54.74,54.9399,19.2348,10562,0.0,1.0
2010-01-27,54.79,55.2,54.6,55.05,19.2734,9715,0.0,1.0
2010-01-28,55.39,55.39,53.79,54.21,18.9793,27713,0.0,1.0
2010-01-29,54.68,54.92,52.91,53.14,18.6047,49311,0.0,1.0
2010-02-01,53.49,54.1299,53.49,54.08,18.9338,83446,0.0,1.0
2010-02-02,54.02,54.793,53.99,54.7,19.1508,67736,0.0,1.0
2010-02-03,54.36,54.9986,54.36,54.88,19.2139,11085,0.0,1.0
2010-02-04,54.31,54.31,53.28,53.28,18.6537,31744,0.0,1.0
2010-02-05,53.28,53.7399,52.76,53.735,18.813,50761,0.0,1.0
2010-02-08,53.62,54.04,53.4,53.4448,18.7114,10149,0.0,1.0
2010-02-09,54.02,54.35,53.57,53.9424,18.8856,49787,0.0,1.0
2010-02-10,54.03,54.096,53.47,53.8501,18.8533,8344,0.0,1.0
2010-02-11,53.86,54.8314,53.66,54.72,19.1578,9993,0.0,1.0
2010-02-12,54.11,54.773,53.951,54.68,19.1438,12517,0.0,1.0
2010-02-16,55.06,55.66,54.89,55.66,19.4869,6227,0.0,1.0
2010-02-17,55.82,55.86,55.48,55.7868,19.5313,12716,0.0,1.0
2010-02-18,55.68,56.3,55.63,56.28,19.704,429713,0.0,1.0
2010-02-19,56.04,56.54,56.0,56.31,19.7145,39416,0.0,1.0
2010-02-22,56.46,56.52,56.0999,56.16,19.662,18391,0.0,1.0
2010-02-23,56.02,56.0565,55.0,55.28,19.3539,22377,0.0,1.0
2010-02-24,55.51,56.2055,55.51,55.995,19.6042,13335,0.0,1.0
2010-02-25,55.18,55.712,54.77,55.65,19.4834,13810,0.0,1.0
2010-02-26,55.71,55.86,55.39,55.78,19.529,10325,0.0,1.0
2010-03-01,56.164,56.768,56.06,56.768,19.8749,17646,0.0,1.0
2010-03-02,57.01,57.285,56.7,56.79,19.8826,10241,0.0,1.0
2010-03-03,57.009,57.235,56.719,56.839,19.8997,9169,0.0,1.0
2010-03-04,56.88,56.954,56.44,56.95,19.9386,5298,0.0,1.0
2010-03-05,57.36,57.818,57.2945,57.7628,20.2231,10658,0.0,1.0
2010-03-08,57.78,58.23,57.78,58.16,20.3622,33174,0.0,1.0
2010-03-09,57.94,58.6597,57.84,58.31,20.4147,11197,0.0,1.0
2010-03-10,58.34,59.09,58.34,59.03,20.6668,18695,0.0,1.0
2010-03-11,58.84,59.07,58.6545,59.07,20.6808,10163,0.0,1.0
2010-03-12,59.34,59.34,58.8848,59.04,20.6703,45185,0.0,1.0
2010-03-15,58.83,59.073,58.6052,58.8814,20.6148,31587,0.0,1.0
2010-03-16,58.87,59.63,58.87,59.59,20.8629,32989,0.0,1.0
2010-03-17,59.61,60.249,59.61,59.7912,20.9333,40036,0.0,1.0
2010-03-18,59.7912,59.7912,59.7912,59.7912,20.9333,0,0.0,1.0
2010-03-19,59.98,59.98,59.1372,59.31,20.7802,19929,0.044,1.0
2010-03-22,59.5,60.107,59.4152,59.88,20.98,34620,0.0,1.0
2010-03-23,60.13,60.65,60.032,60.6,21.2322,9069,0.0,1.0
2010-03-24,60.37,60.37,59.8989,59.9,20.987,9291,0.0,1.0
2010-03-25,60.46,60.7388,59.917,59.917,20.9929,9393,0.0,1.0
2010-03-26,60.09,60.287,59.706,59.9,20.987,6122,0.0,1.0
2010-03-29,60.05,60.16,59.8635,59.924,20.9954,3061,0.0,1.0
2010-03-30,60.2675,60.2675,59.8676,60.0299,21.0325,5198,0.0,1.0
2010-03-31,59.78,60.13,59.7499,59.8,20.9519,13600,0.0,1.0
2010-04-01,60.09,60.4188,59.3448,59.64,20.8959,14522,0.0,1.0
2010-04-05,59.85,60.46,59.85,60.46,21.1832,22862,0.0,1.0
2010-04-06,60.03,60.638,60.01,60.52,21.2042,20413,0.0,1.0
2010-04-07,60.37,60.53,59.99,60.2399,21.1061,37770,0.0,1.0
2010-04-08,59.7,60.2786,59.6601,60.162,21.0788,15118,0.0,1.0
2010-04-09,60.16,60.68,60.16,60.68,21.2602,12882,0.0,1.0
2010-04-12,60.8952,61.1745,60.73,61.02,21.3794,9417,0.0,1.0
2010-04-13,60.89,61.18,60.67,61.12,21.4144,14661,0.0,1.0
2010-04-14,61.66,62.38,61.66,62.34,21.8419,89603,0.0,1.0
2010-04-15,62.33,62.6452,62.28,62.54,21.9119,29202,0.0,1.0
2010-04-16,62.24,62.24,61.2,61.58,21.5756,28077,0.0,1.0
2010-04-19,61.3,61.5375,60.73,61.51,21.5511,32236,0.0,1.0
2010-04-20,61.76,61.96,61.49,61.96,21.7087,30197,0.0,1.0
2010-04-21,62.0,62.16,61.4465,61.79,21.6492,32712,0.0,1.0
2010-04-22,60.79,61.7,60.32,61.7,21.6176,15491,0.0,1.0
2010-04-23,61.79,62.05,61.5,62.05,21.7402,10087,0.0,1.0
2010-04-26,62.0,62.1955,61.7548,61.93,21.6982,26400,0.0,1.0
2010-04-27,61.7,61.86,60.4,60.47,21.1867,31793,0.0,1.0
2010-04-28,60.75,60.75,59.87,60.4,21.1621,42394,0.0,1.0
2010-04-29,60.64,61.08,60.62,61.08,21.4004,14732,0.0,1.0
2010-04-30,61.09,61.09,59.69,59.69,20.9134,19896,0.0,1.0
2010-05-03,60.11,60.61,59.95,60.374,21.153,34911,0.0,1.0
2010-05-04,59.58,59.58,58.04,58.502,20.4971,36610,0.0,1.0
2010-05-05,57.94,58.57,57.66,58.01,20.3248,36712,0.0,1.0
2010-05-06,57.79,58.332,51.42,56.39,19.7572,101280,0.0,1.0
2010-05-07,55.96,56.67,54.08,55.3,19.3753,64259,0.0,1.0
2010-05-10,57.7599,58.126,57.38,57.7001,20.2162,35412,0.0,1.0
2010-05-11,57.31,58.48,57.31,57.65,20.1986,16069,0.0,1.0
2010-05-12,57.8,58.7148,57.8,58.61,20.535,11211,0.0,1.0
2010-05-13,58.45,58.8248,57.579,57.63,20.1916,12352,0.0,1.0
2010-05-14,57.17,57.17,55.68,56.45,19.7782,27663,0.0,1.0
2010-05-17,56.54,56.71,55.73,56.66,19.8518,38797,0.0,1.0
2010-05-18,57.05,57.25,55.53,55.75,19.5329,184309,0.0,1.0
2010-05-19,55.61,56.14,54.9001,55.5886,19.4764,27798,0.0,1.0
2010-05-20,54.27,54.42,53.47,53.95,18.9023,55156,0.0,1.0
2010-05-21,52.61,54.69,52.46,54.314,19.0298,85362,0.0,1.0
