,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,8.54,8.76,8.47,8.63,18.8046,13472700,0.0,1.0
2010-01-05,8.63,8.65,8.56,8.64,18.8263,8579300,0.0,1.0
2010-01-06,8.64,8.67,8.54,8.56,18.652,6941700,0.0,1.0
2010-01-07,8.53,8.62,8.51,8.6,18.7392,11880200,0.0,1.0
2010-01-08,8.58,8.64,8.51,8.57,18.6738,6482500,0.0,1.0
2010-01-11,8.62,8.84,8.57,8.78,19.1314,13900400,0.0,1.0
2010-01-12,8.68,8.91,8.68,8.85,19.2839,18706200,0.0,1.0
2010-01-13,8.88,8.97,8.81,8.95,19.5018,11117400,0.0,1.0
2010-01-14,8.91,9.0,8.85,8.89,19.3711,9249700,0.0,1.0
2010-01-15,8.85,8.89,8.79,8.84,19.2621,11527200,0.0,1.0
2010-01-19,8.83,9.04,8.79,9.02,19.6544,17863000,0.0,1.0
2010-01-20,8.92,8.95,8.73,8.89,19.3711,20787000,0.0,1.0
2010-01-21,9.16,9.48,9.13,9.28,20.2209,44240100,0.0,1.0
2010-01-22,9.19,9.27,8.91,8.97,19.5454,21866600,0.0,1.0
2010-01-25,9.03,9.11,8.86,8.89,19.3711,14668100,0.0,1.0
2010-01-26,8.87,8.94,8.72,8.86,19.3057,10855700,0.0,1.0
2010-01-27,8.83,8.91,8.71,8.89,19.3711,18320200,0.0,1.0
2010-01-28,8.88,8.95,8.78,8.82,19.2186,18055100,0.0,1.0
2010-01-29,8.9,8.91,8.71,8.72,19.0007,22324400,0.0,1.0
2010-02-01,8.75,8.97,8.73,8.97,19.5454,14442700,0.0,1.0
2010-02-02,8.98,9.16,8.93,9.13,19.894,24610200,0.0,1.0
2010-02-03,9.09,9.17,8.97,8.99,19.589,13122500,0.0,1.0
2010-02-04,8.98,9.04,8.63,8.65,18.8481,24839100,0.0,1.0
2010-02-05,8.55,8.6,8.35,8.47,18.4559,36423600,0.0,1.0
2010-02-08,8.39,8.51,8.25,8.45,18.4123,12811700,0.0,1.0
2010-02-09,8.53,8.55,8.2,8.38,18.2598,27285300,0.0,1.0
2010-02-10,8.39,8.54,8.37,8.45,18.4123,10699600,0.0,1.0
2010-02-11,8.47,8.81,8.4,8.76,19.0878,23186600,0.0,1.0
2010-02-12,8.6,8.88,8.54,8.77,19.1096,13527800,0.0,1.0
2010-02-16,8.7,8.9,8.69,8.86,19.3057,9919500,0.0,1.0
2010-02-17,8.9,9.03,8.8,8.92,19.4365,13713700,0.0,1.0
2010-02-18,8.93,9.19,8.87,9.17,19.9812,17983200,0.0,1.0
2010-02-19,9.11,9.27,9.09,9.2,20.0466,14373900,0.0,1.0
2010-02-22,9.3,9.31,9.19,9.24,20.1337,12534200,0.0,1.0
2010-02-23,9.22,9.23,9.04,9.1,19.8287,7947400,0.0,1.0
2010-02-24,9.16,9.26,9.09,9.25,20.1555,10582500,0.0,1.0
2010-02-25,9.12,9.31,9.1,9.29,20.2427,11735000,0.0,1.0
2010-02-26,9.29,9.4,9.21,9.37,20.417,11007800,0.0,1.0
2010-03-01,9.38,9.58,9.38,9.55,20.8092,12528600,0.0,1.0
2010-03-02,9.54,9.6,9.44,9.5,20.7003,11579200,0.0,1.0
2010-03-03,9.6,9.7,9.5,9.52,20.7438,10315800,0.0,1.0
2010-03-04,9.52,9.64,9.4,9.54,20.7874,15502600,0.0,1.0
2010-03-05,9.62,9.9,9.58,9.87,21.5065,13873400,0.0,1.0
2010-03-08,9.9,10.07,9.88,9.91,21.5936,13831300,0.0,1.0
2010-03-09,9.7,9.88,9.67,9.74,21.2232,9199200,0.0,1.0
2010-03-10,9.78,9.87,9.69,9.85,21.4629,12324300,0.0,1.0
2010-03-11,9.79,10.0,9.76,10.0,21.7898,13069300,0.0,1.0
2010-03-12,10.0,10.0,9.81,9.89,21.5501,13891300,0.0,1.0
2010-03-15,9.85,10.05,9.83,10.02,21.8333,14334200,0.0,1.0
2010-03-16,10.11,10.17,10.01,10.09,21.9859,12826700,0.0,1.0
2010-03-17,10.11,10.12,9.85,9.9,21.5719,18152100,0.0,1.0
2010-03-18,9.93,9.93,9.75,9.86,21.4847,12103800,0.0,1.0
2010-03-19,9.91,9.94,9.52,9.57,20.8528,17805500,0.0,1.0
2010-03-22,9.51,9.89,9.45,9.87,21.5065,14269700,0.0,1.0
2010-03-23,9.92,10.12,9.79,10.11,22.0294,14926700,0.0,1.0
2010-03-24,10.04,10.06,9.85,9.86,21.4847,8812800,0.0,1.0
2010-03-25,9.93,9.99,9.62,9.62,20.9617,12810100,0.0,1.0
2010-03-26,9.62,9.62,9.62,9.62,20.9617,7236800,0.0,1.0
2010-03-29,9.65,9.75,9.63,9.73,21.294,7063400,0.0425,1.0
2010-03-30,9.65,9.77,9.63,9.69,21.2065,6246800,0.0,1.0
2010-03-31,9.7,9.78,9.6,9.75,21.3378,11630500,0.0,1.0
2010-04-01,9.81,10.0,9.78,9.99,21.863,10197200,0.0,1.0
2010-04-05,10.0,10.4,9.9,10.38,22.7166,17407600,0.0,1.0
2010-04-06,10.37,10.37,10.18,10.27,22.4758,11745000,0.0,1.0
2010-04-07,10.19,10.29,10.0,10.16,22.2351,12542600,0.0,1.0
2010-04-08,10.1,10.43,9.94,10.42,22.8041,14986900,0.0,1.0
2010-04-09,10.42,10.5,10.34,10.44,22.8479,14624500,0.0,1.0
2010-04-12,10.51,10.55,10.41,10.49,22.9573,7891500,0.0,1.0
2010-04-13,10.39,10.5,10.38,10.45,22.8698,18826200,0.0,1.0
2010-04-14,10.41,10.62,10.38,10.55,23.0886,12570200,0.0,1.0
2010-04-15,10.55,10.55,10.4,10.49,22.9573,12931700,0.0,1.0
2010-04-16,10.43,10.54,10.27,10.32,22.5853,15697700,0.0,1.0
2010-04-19,10.28,10.77,10.18,10.71,23.4388,24903200,0.0,1.0
2010-04-20,10.74,11.065,10.56,10.74,23.5044,19474400,0.0,1.0
2010-04-21,10.8,10.89,10.55,10.6,23.198,13640600,0.0,1.0
2010-04-22,10.49,10.57,10.21,10.45,22.8698,14026600,0.0,1.0
2010-04-23,11.3,11.72,10.78,11.32,24.7737,79286000,0.0,1.0
2010-04-26,11.12,11.49,11.1,11.35,24.8394,27920300,0.0,1.0
2010-04-27,11.31,11.31,10.78,10.81,23.6576,24956600,0.0,1.0
2010-04-28,10.88,11.22,10.75,11.1,24.2923,23734300,0.0,1.0
2010-04-29,11.24,11.27,10.99,11.22,24.5549,18561900,0.0,1.0
2010-04-30,11.22,11.25,10.84,10.9,23.8546,18933900,0.0,1.0
2010-05-03,10.99,11.14,10.81,11.05,24.1829,14484700,0.0,1.0
2010-05-04,10.75,10.77,10.42,10.6,23.198,19725700,0.0,1.0
2010-05-05,10.5,10.71,10.23,10.42,22.8041,21991700,0.0,1.0
2010-05-06,10.36,10.44,9.11,10.04,21.9725,29405300,0.0,1.0
2010-05-07,10.04,10.185,9.45,9.73,21.294,27134500,0.0,1.0
2010-05-10,10.35,10.55,10.08,10.14,22.1913,26182700,0.0,1.0
2010-05-11,10.13,10.36,9.94,10.1,22.1038,17820800,0.0,1.0
2010-05-12,10.14,10.32,10.11,10.19,22.3007,13612400,0.0,1.0
2010-05-13,10.19,10.57,10.13,10.3,22.5415,19965300,0.0,1.0
2010-05-14,10.21,10.35,9.9,10.02,21.9287,14593800,0.0,1.0
