,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2010-01-04,48.19,48.4264,47.59,47.95,22.416,275471,0.0,1.0
2010-01-05,47.96,48.44,47.67,48.05,22.4628,154815,0.0,1.0
2010-01-06,48.14,48.27,47.81,48.07,22.4721,261052,0.0,1.0
2010-01-07,48.04,48.04,47.25,47.62,22.2618,404434,0.0,1.0
2010-01-08,47.63,48.26,47.53,48.26,22.5609,179741,0.0,1.0
2010-01-11,48.48,48.4892,47.6,47.93,22.4067,178857,0.0,1.0
2010-01-12,47.49,47.49,45.95,46.34,21.6634,428128,0.0,1.0
2010-01-13,46.58,46.93,45.41,46.88,21.9158,130640,0.0,1.0
2010-01-14,46.76,46.81,46.16,46.64,21.8036,80668,0.0,1.0
2010-01-15,46.69,46.69,45.11,45.24,21.1491,147893,0.0,1.0
2010-01-19,45.4,46.684,45.36,45.85,21.4343,122594,0.0,1.0
2010-01-20,45.8,46.17,45.48,46.17,21.5839,179037,0.0,1.0
2010-01-21,46.26,46.917,45.7,46.21,21.6026,156653,0.0,1.0
2010-01-22,46.0,46.0,43.98,44.24,20.6816,304485,0.0,1.0
2010-01-25,44.5,45.0,44.23,44.68,20.8873,177886,0.0,1.0
2010-01-26,44.5,44.9,44.1,44.37,20.7424,54662,0.0,1.0
2010-01-27,44.31,45.14,43.99,44.97,21.0229,169051,0.0,1.0
2010-01-28,44.91,44.92,42.8125,43.6,20.3825,237730,0.0,1.0
2010-01-29,43.97,44.31,41.6076,42.07,19.6672,294480,0.0,1.0
2010-02-01,42.21,43.65,42.08,43.62,20.3918,350915,0.0,1.0
2010-02-02,43.745,44.42,43.5,44.21,20.6676,169606,0.0,1.0
2010-02-03,44.08,44.563,43.92,44.43,20.7705,218758,0.0,1.0
2010-02-04,43.82,43.94,42.19,42.31,19.7794,234959,0.0,1.0
2010-02-05,42.5,43.19,41.82,42.99,20.0973,261475,0.0,1.0
2010-02-08,42.95,43.81,42.55,42.92,20.0646,219469,0.0,1.0
2010-02-09,43.77,43.89,42.98,43.33,20.2562,215329,0.0,1.0
2010-02-10,43.27,43.784,42.97,43.59,20.3778,100421,0.0,1.0
2010-02-11,43.65,44.63,43.29,44.52,20.8125,122460,0.0,1.0
2010-02-12,43.9,45.3348,43.67,44.83,20.9575,286494,0.0,1.0
2010-02-16,45.28,45.91,45.01,45.85,21.4343,218206,0.0,1.0
2010-02-17,46.12,46.14,45.3,45.91,21.4623,356585,0.0,1.0
2010-02-18,45.77,46.23,45.51,46.22,21.6073,92335,0.0,1.0
2010-02-19,46.09,46.78,45.87,46.49,21.7335,177007,0.0,1.0
2010-02-22,46.73,46.83,46.28,46.45,21.7148,180974,0.0,1.0
2010-02-23,46.34,46.38,45.0,45.32,21.1865,104596,0.0,1.0
2010-02-24,45.59,46.408,45.59,46.11,21.5558,178352,0.0,1.0
2010-02-25,45.46,45.96,44.85,45.87,21.4436,150966,0.0,1.0
2010-02-26,45.99,45.99,45.33,45.93,21.4717,91613,0.0,1.0
2010-03-01,45.98,47.09,45.98,47.02,21.9813,220272,0.0,1.0
2010-03-02,47.22,47.79,47.06,47.17,22.0514,300594,0.0,1.0
2010-03-03,47.36,47.774,46.68,46.86,21.9065,100049,0.0,1.0
2010-03-04,46.93,47.06,46.36,47.04,21.9906,102667,0.0,1.0
2010-03-05,47.4,47.78,46.97,47.53,22.2197,105600,0.0,1.0
2010-03-08,47.61,47.658,47.25,47.45,22.1823,105177,0.0,1.0
2010-03-09,47.22,47.6782,47.0907,47.4,22.1589,114560,0.0,1.0
2010-03-10,47.48,48.43,47.45,48.22,22.5422,156360,0.0,1.0
2010-03-11,48.06,48.06,47.24,47.67,22.2851,69982,0.0,1.0
2010-03-12,48.07,48.07,47.52,47.63,22.2664,71566,0.0,1.0
2010-03-15,47.49,47.67,46.94,47.22,22.0748,116347,0.0,1.0
2010-03-16,47.46,48.54,47.28,48.43,22.6404,82232,0.0,1.0
2010-03-17,48.55,49.61,48.54,49.3,23.0471,139523,0.0,1.0
2010-03-18,49.3,49.3,49.3,49.3,23.0471,100700,0.0,1.0
2010-03-19,48.67,48.67,47.72,47.93,22.447,155894,0.0862,1.0
2010-03-22,48.1,48.88,47.51,48.81,22.8591,167626,0.0,1.0
2010-03-23,49.0,49.6,48.93,49.6,23.2291,374846,0.0,1.0
2010-03-24,49.42,49.42,48.17,48.24,22.5921,405853,0.0,1.0
2010-03-25,48.69,49.02,48.06,48.06,22.5078,308801,0.0,1.0
2010-03-26,48.26,48.5,47.4,47.84,22.4048,310878,0.0,1.0
2010-03-29,48.13,48.42,48.02,48.15,22.55,412365,0.0,1.0
2010-03-30,48.28,48.63,47.84,48.39,22.6624,210265,0.0,1.0
