,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2011-09-29,50.8,50.8,49.49,49.49,22.7165,6000,0.0,1.0
2011-09-30,49.49,49.49,49.49,49.49,22.7165,0,0.0,1.0
2011-10-03,49.49,49.49,49.49,49.49,22.7165,0,0.0,1.0
2011-10-04,47.95,47.95,47.95,47.95,22.0097,2000,0.0,1.0
2011-10-05,49.62,49.85,49.62,49.85,22.8818,1200,0.0,1.0
2011-10-06,50.75,51.0,50.57,51.0,23.4097,2500,0.0,1.0
2011-10-07,51.0,51.0,51.0,51.0,23.4097,0,0.0,1.0
2011-10-10,52.0,52.0,52.0,52.0,23.8687,100,0.0,1.0
2011-10-11,52.0,52.0,52.0,52.0,23.8687,0,0.0,1.0
2011-10-12,53.01,53.45,53.01,53.4,24.5113,3100,0.0,1.0
2011-10-13,53.4,53.4,53.4,53.4,24.5113,0,0.0,1.0
2011-10-14,54.05,54.05,54.05,54.05,24.8096,100,0.0,1.0
2011-10-17,53.66,53.66,53.66,53.66,24.6306,100,0.0,1.0
2011-10-18,53.54,54.77,53.46,54.77,25.1401,13008,0.0,1.0
2011-10-19,54.77,54.77,54.77,54.77,25.1401,0,0.0,1.0
2011-10-20,54.77,54.77,54.77,54.77,25.1401,0,0.0,1.0
2011-10-21,54.2499,54.25,54.2499,54.25,24.9014,200,0.0,1.0
2011-10-24,55.6199,55.78,55.6199,55.78,25.6037,1644,0.0,1.0
2011-10-25,55.69,56.0714,55.41,55.41,25.4339,1455,0.0,1.0
2011-10-26,55.9,55.9,55.14,55.68,25.5578,11312,0.0,1.0
2011-10-27,57.65,58.67,57.44,58.6412,26.9171,1617,0.0,1.0
2011-10-28,58.48,58.62,58.48,58.62,26.9073,272,0.0,1.0
2011-10-31,57.53,57.99,57.45,57.7,26.485,23933,0.0,1.0
2011-11-01,55.84,55.99,55.06,55.06,25.2732,12422,0.0,1.0
2011-11-02,56.3,56.31,55.999,56.31,25.847,6269,0.0,1.0
2011-11-03,56.67,57.99,56.5784,57.99,26.6182,7640,0.0,1.0
2011-11-04,57.33,58.11,57.33,58.0204,26.6321,974,0.0,1.0
2011-11-07,57.32,57.9546,57.32,57.9546,26.6019,564,0.0,1.0
2011-11-08,57.59,58.54,57.59,58.54,26.8706,355,0.0,1.0
2011-11-09,57.35,57.42,56.365,56.365,25.8723,15781,0.0,1.0
2011-11-10,56.57,56.74,55.84,56.28,25.8332,30275,0.0,1.0
2011-11-11,57.86,57.86,57.78,57.78,26.5218,699,0.0,1.0
2011-11-14,57.366,57.366,57.366,57.366,26.3317,170,0.0,1.0
2011-11-15,58.13,58.13,58.13,58.13,26.6824,143,0.0,1.0
2011-11-16,58.31,58.31,57.5083,57.5083,26.397,1216,0.0,1.0
2011-11-17,56.7366,56.98,56.0846,56.0846,25.7435,980,0.0,1.0
2011-11-18,55.614,55.8866,55.614,55.7396,25.5852,1313,0.0,1.0
2011-11-21,54.283,54.7,54.283,54.7,25.108,589,0.0,1.0
2011-11-22,53.99,54.09,53.99,54.09,24.828,292,0.0,1.0
2011-11-23,53.63,53.63,52.65,52.65,24.167,3291,0.0,1.0
2011-11-25,52.65,52.65,52.65,52.65,24.167,0,0.0,1.0
2011-11-28,54.22,54.4233,54.03,54.19,24.8739,30347,0.0,1.0
2011-11-29,54.33,54.45,54.217,54.317,24.9322,7896,0.0,1.0
2011-11-30,56.46,56.46,56.25,56.46,25.9159,3292,0.0,1.0
2011-12-01,56.46,57.07,56.46,56.72,26.0352,3300,0.0,1.0
2011-12-02,57.3,57.3,56.8431,56.8431,26.0917,415,0.0,1.0
2011-12-05,58.7899,58.7899,58.1504,58.1504,26.6918,1593,0.0,1.0
2011-12-06,58.1504,58.1504,58.1504,58.1504,26.6918,0,0.0,1.0
