,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2015-03-24,25.83,26.35,25.75,25.75,24.2374,412648,0.0,1.0
2015-03-25,25.78,25.79,25.3,25.32,23.8326,188603,0.0,1.0
2015-03-26,25.4,26.09,24.9,25.14,23.6632,581353,0.0,1.0
2015-03-27,25.15,25.32,25.15,25.31,23.8232,304936,0.0,1.0
2015-03-30,25.4,25.52,25.4,25.51,24.0115,260159,0.0,1.0
2015-03-31,25.34,25.38,25.252,25.305,23.8185,87100,0.0,1.0
2015-04-01,25.58,25.58,25.1,25.14,23.6632,111385,0.0,1.0
2015-04-02,25.23,25.3716,25.22,25.37,23.8797,126300,0.0,1.0
2015-04-06,25.85,25.85,25.475,25.51,24.0115,170433,0.0,1.0
2015-04-07,25.53,25.67,25.53,25.535,24.035,101468,0.0,1.0
2015-04-08,25.6,25.72,25.6,25.63,24.1244,122707,0.0,1.0
2015-04-09,25.68,25.79,25.66,25.76,24.2468,121647,0.0,1.0
2015-04-10,25.8,25.93,25.8,25.91,24.388,189787,0.0,1.0
2015-04-13,25.97,25.99,25.95,25.95,24.4256,126169,0.0,1.0
2015-04-14,26.33,26.33,25.85,25.8662,24.3468,102128,0.0,1.0
2015-04-15,25.96,26.09,25.92,26.05,24.5198,124643,0.0,1.0
2015-04-16,26.05,26.14,26.0099,26.11,24.5762,141226,0.0,1.0
2015-04-17,25.86,25.875,25.7085,25.7145,24.204,107214,0.0,1.0
2015-04-20,25.82,25.92,25.81,25.88,24.3597,83014,0.0,1.0
2015-04-21,26.08,26.08,26.02,26.02,24.4915,87083,0.0,1.0
2015-04-22,26.08,26.12,25.951,26.11,24.5762,88478,0.0,1.0
2015-04-23,26.02,26.27,25.99,26.255,24.7127,112418,0.0,1.0
2015-04-24,26.26,26.27,26.15,26.15,24.6139,112312,0.0,1.0
2015-04-27,26.28,26.37,26.0,26.0,24.4727,79580,0.0,1.0
2015-04-28,26.53,26.53,25.8,25.9686,24.4431,86268,0.0,1.0
2015-04-29,25.81,25.9,25.755,25.8186,24.3019,65385,0.0,1.0
2015-04-30,25.85,25.85,25.5274,25.57,24.068,55842,0.0,1.0
2015-05-01,25.71,25.86,25.71,25.86,24.3409,49190,0.0,1.0
2015-05-04,25.99,26.06,25.9488,25.97,24.4445,103459,0.0,1.0
2015-05-05,25.95,25.95,25.57,25.62,24.115,84891,0.0,1.0
2015-05-06,25.8,25.8299,25.47,25.59,24.0868,84444,0.0,1.0
2015-05-07,25.5,25.67,25.5,25.65,24.1433,62561,0.0,1.0
2015-05-08,25.95,26.1053,25.95,26.06,24.5292,808088,0.0,1.0
2015-05-11,26.03,26.08,25.974,25.99,24.4633,62324,0.0,1.0
2015-05-12,25.99,26.025,25.8076,25.97,24.4445,52567,0.0,1.0
2015-05-13,26.03,26.1399,26.02,26.05,24.5198,35954,0.0,1.0
2015-05-14,26.21,26.34,26.1368,26.34,24.7927,81253,0.0,1.0
2015-05-15,26.34,26.35,26.2588,26.35,24.8021,56079,0.0,1.0
2015-05-18,26.34,26.4499,26.31,26.44,24.8868,48865,0.0,1.0
2015-05-19,26.43,26.43,26.3407,26.36,24.8115,68606,0.0,1.0
2015-05-20,26.38,26.53,26.32,26.43,24.8774,79740,0.0,1.0
2015-05-21,26.44,26.54,26.4363,26.515,24.9574,63708,0.0,1.0
2015-05-22,26.38,26.48,26.3658,26.45,24.8963,67958,0.0,1.0
2015-05-26,26.35,26.35,26.14,26.145,24.6092,70499,0.0,1.0
2015-05-27,26.18,26.46,26.1599,26.4468,24.8932,67824,0.0,1.0
2015-05-28,26.43,26.47,26.3501,26.46,24.9057,81246,0.0,1.0
2015-05-29,26.44,26.4428,26.25,26.31,24.7645,104280,0.0,1.0
2015-06-01,26.42,26.42,26.1743,26.27,24.7268,73803,0.0,1.0
2015-06-02,26.33,26.4399,26.26,26.34,24.7927,45945,0.0,1.0
2015-06-03,26.44,26.55,26.4138,26.45,24.8963,94534,0.0,1.0
2015-06-04,26.95,26.95,26.15,26.19,24.6515,54514,0.0,1.0
2015-06-05,26.15,26.15,25.96,26.12,24.5856,55932,0.0,1.0
2015-06-08,26.14,26.14,26.0,26.01,24.4821,32111,0.0,1.0
2015-06-09,25.95,25.98,25.8625,25.9301,24.4069,44296,0.0,1.0
2015-06-10,26.15,26.34,26.06,26.32,24.7739,51932,0.0,1.0
2015-06-11,26.37,26.4,26.2945,26.38,24.8304,48097,0.0,1.0
2015-06-12,26.24,26.24,26.15,26.2,24.6609,45830,0.0,1.0
2015-06-15,25.95,26.06,25.8946,26.055,24.5245,51982,0.0,1.0
2015-06-16,26.03,26.1277,26.0,26.1,24.5668,59232,0.0,1.0
2015-06-17,26.15,26.24,26.0059,26.16,24.6233,44164,0.0,1.0
2015-06-18,26.16,26.59,26.16,26.52,24.9621,42503,0.0,1.0
2015-06-19,26.3,26.56,26.27,26.5,24.9433,58516,0.0,1.0
2015-06-22,26.67,26.7286,26.6595,26.7,25.1316,49667,0.0,1.0
2015-06-23,26.71,26.71,26.56,26.61,25.0469,77557,0.0,1.0
2015-06-24,26.41,26.41,26.18,26.202,24.793,45960,0.1383,1.0
2015-06-25,26.25,26.27,26.1095,26.1599,24.7532,83613,0.0,1.0
2015-06-26,26.16,26.16,25.98,26.05,24.6492,45451,0.0,1.0
2015-06-29,25.76,25.8708,25.37,25.39,24.0247,59481,0.0,1.0
2015-06-30,25.57,25.57,25.36,25.47,24.1004,54571,0.0,1.0
2015-07-01,25.64,25.67,25.48,25.56,24.1855,43748,0.0,1.0
2015-07-02,25.26,25.63,25.26,25.6,24.2234,43943,0.0,1.0
2015-07-06,25.3,25.5088,25.26,25.37,24.0058,46383,0.0,1.0
2015-07-07,25.29,25.38,24.91,25.38,24.0152,72165,0.0,1.0
2015-07-08,24.96,25.13,24.9,24.91,23.5705,53923,0.0,1.0
2015-07-09,25.06,25.35,25.03,25.06,23.7124,90160,0.0,1.0
2015-07-10,25.48,25.59,25.4435,25.55,24.1761,41873,0.0,1.0
2015-07-13,25.67,25.8,25.67,25.8,24.4126,52362,0.0,1.0
2015-07-14,25.85,26.03,25.82,26.025,24.6255,132772,0.0,1.0
2015-07-15,26.09,26.09,25.83,25.88,24.4883,69460,0.0,1.0
2015-07-16,26.07,26.15,26.02,26.14,24.7343,86888,0.0,1.0
2015-07-17,26.14,26.15,26.07,26.15,24.7438,43510,0.0,1.0
2015-07-20,26.15,26.1699,26.0201,26.1,24.6965,100489,0.0,1.0
2015-07-21,26.01,26.0999,25.8901,25.95,24.5546,57619,0.0,1.0
2015-07-22,25.78,25.85,25.75,25.841,24.4514,42806,0.0,1.0
2015-07-23,25.84,25.98,25.7912,25.7999,24.4125,39717,0.0,1.0
2015-07-24,25.94,25.94,25.5,25.5,24.1288,45679,0.0,1.0
2015-07-27,25.47,25.47,25.21,25.25,23.8922,94799,0.0,1.0
2015-07-28,25.26,25.5749,25.23,25.54,24.1666,107843,0.0,1.0
2015-07-29,25.59,25.8,25.5621,25.76,24.3748,48715,0.0,1.0
2015-07-30,25.71,25.8,25.6,25.76,24.3748,33402,0.0,1.0
2015-07-31,25.74,25.9693,25.74,25.84,24.4505,30378,0.0,1.0
2015-08-03,25.71,25.8599,25.645,25.77,24.3842,56354,0.0,1.0
2015-08-04,25.63,25.8305,25.63,25.6599,24.2801,84381,0.0,1.0
2015-08-05,25.77,25.99,25.77,25.95,24.5546,52459,0.0,1.0
2015-08-06,26.0,26.0,25.559,25.6,24.2234,67691,0.0,1.0
2015-08-07,25.59,25.59,25.36,25.5,24.1288,26110,0.0,1.0
2015-08-10,25.57,25.91,25.57,25.85,24.4599,368255,0.0,1.0
2015-08-11,25.66,25.677,25.45,25.54,24.1666,47142,0.0,1.0
2015-08-12,25.27,25.5763,25.13,25.56,24.1855,38904,0.0,1.0
2015-08-13,25.51,25.5742,25.4902,25.5,24.1288,23907,0.0,1.0
2015-08-14,25.14,25.56,25.14,25.55,24.1761,32003,0.0,1.0
2015-08-17,25.48,25.7,25.3901,25.7,24.318,22620,0.0,1.0
2015-08-18,25.69,25.69,25.5502,25.62,24.2423,27246,0.0,1.0
2015-08-19,25.51,25.51,25.24,25.45,24.0815,38837,0.0,1.0
2015-08-20,25.16,25.25,24.75,24.75,23.4191,83968,0.0,1.0
2015-08-21,24.47,24.65,24.05,24.05,22.7567,99480,0.0,1.0
2015-08-24,22.8,23.885,22.07,23.38,22.1228,133455,0.0,1.0
2015-08-25,24.1,24.1099,23.22,23.24,21.9903,80132,0.0,1.0
2015-08-26,23.64,23.95,23.28,23.95,22.6621,66150,0.0,1.0
2015-08-27,24.36,24.59,24.23,24.59,23.2677,42226,0.0,1.0
2015-08-28,24.42,24.6,24.42,24.6,23.2772,28203,0.0,1.0
2015-08-31,24.47,24.54,24.4001,24.4001,23.088,22131,0.0,1.0
2015-09-01,23.81,23.9825,23.555,23.6772,22.404,43085,0.0,1.0
2015-09-02,23.97,24.14,23.7319,24.14,22.8419,53051,0.0,1.0
2015-09-03,24.22,24.38,24.1072,24.15,22.8514,33951,0.0,1.0
2015-09-04,23.85,23.91,23.66,23.82,22.5391,33938,0.0,1.0
2015-09-08,24.21,24.51,24.21,24.51,23.192,22562,0.0,1.0
2015-09-09,24.62,24.7999,24.193,24.2,22.8987,42433,0.0,1.0
2015-09-10,24.09,24.49,24.0437,24.42,23.1068,31847,0.0,1.0
2015-09-11,24.19,24.47,24.155,24.46,23.1447,35920,0.0,1.0
2015-09-14,24.34,24.34,24.15,24.24,22.9365,26031,0.0,1.0
2015-09-15,24.317,24.555,24.317,24.4999,23.1824,36359,0.0,1.0
2015-09-16,24.51,24.7158,24.5001,24.6899,23.3622,34806,0.0,1.0
2015-09-17,24.63,24.949,24.63,24.83,23.4948,31814,0.0,1.0
2015-09-18,24.45,24.52,24.2101,24.31,23.0028,23909,0.0,1.0
