,open,high,low,close,volume
2016-06-28,51.1,51.1,50.68,50.97,4000
2016-06-29,52.0799,52.0799,52.0799,52.0799,200
2016-06-30,52.0799,52.0799,52.0799,52.0799,1
2016-07-01,52.0799,52.0799,52.0799,52.0799,1
2016-07-05,52.0799,52.0799,52.0799,52.0799,100
2016-07-06,52.0799,52.0799,52.0799,52.0799,0
2016-07-07,52.62,52.62,52.62,52.62,204
2016-07-08,52.62,52.62,52.62,52.62,0
2016-07-11,52.62,52.62,52.62,52.62,2000
2016-07-12,52.62,52.62,52.62,52.62,0
2016-07-13,52.62,52.62,52.62,52.62,0
2016-07-14,52.62,52.62,52.62,52.62,0
2016-07-15,52.62,52.62,52.62,52.62,0
2016-07-18,52.62,52.62,52.62,52.62,0
2016-07-19,52.62,52.62,52.62,52.62,0
2016-07-20,52.62,52.62,52.62,52.62,0
2016-07-21,52.62,52.62,52.62,52.62,0
2016-07-22,52.62,52.62,52.62,52.62,0
2016-07-25,52.62,52.62,52.62,52.62,0
2016-07-26,52.62,52.62,52.62,52.62,0
2016-07-27,52.62,52.62,52.62,52.62,0
2016-07-28,52.62,52.62,52.62,52.62,0
2016-07-29,52.62,52.62,52.62,52.62,90
2016-08-01,52.62,52.62,52.62,52.62,15
2016-08-02,52.62,52.62,52.62,52.62,0
2016-08-03,52.62,52.62,52.62,52.62,0
2016-08-04,52.62,52.62,52.62,52.62,0
2016-08-05,56.832,56.832,56.832,56.832,280
2016-08-08,57.385,57.385,57.385,57.385,177
2016-08-09,57.24,57.24,57.162,57.162,562
2016-08-10,56.9998,56.9998,56.9998,56.9998,125
2016-08-11,56.9998,56.9998,56.9998,56.9998,100
2016-08-12,57.54,57.54,57.4628,57.4628,389
2016-08-15,57.4628,57.4628,57.4628,57.4628,89
2016-08-16,57.4628,57.4628,57.4628,57.4628,8
2016-08-17,57.87,57.87,57.87,57.87,100
2016-08-18,57.77,57.77,57.77,57.77,125
2016-08-19,58.43,58.43,58.43,58.43,100
2016-08-22,58.43,58.43,58.43,58.43,20
2016-08-23,58.43,58.43,58.43,58.43,0
2016-08-24,58.8945,58.8945,58.8945,58.8945,187
2016-08-25,58.8945,58.8945,58.8945,58.8945,222
2016-08-26,58.8945,58.8945,58.8945,58.8945,88
2016-08-29,59.1016,59.1156,59.0928,59.0928,690
2016-08-30,59.05,59.05,59.05,59.05,428
2016-08-31,58.44,58.44,58.44,58.44,2891
2016-09-01,58.6213,58.6213,58.6213,58.6213,118
2016-09-02,58.6213,58.6213,58.6213,58.6213,0
2016-09-06,58.75,58.75,58.75,58.75,581
2016-09-07,58.75,58.75,58.75,58.75,0
2016-09-08,58.75,58.75,58.75,58.75,0
2016-09-09,58.75,58.75,58.75,58.75,0
2016-09-12,58.75,58.75,58.75,58.75,3
2016-09-13,58.75,58.75,58.75,58.75,5000
2016-09-14,57.75,57.75,57.75,57.75,100
2016-09-15,57.75,57.75,57.75,57.75,0
2016-09-16,57.75,57.75,57.75,57.75,0
2016-09-19,57.75,57.75,57.75,57.75,0
2016-09-20,59.22,59.22,59.22,59.22,100
2016-09-21,59.0,59.4,59.0,59.4,200
2016-09-22,60.348,60.348,60.348,60.348,170
2016-09-23,60.348,60.348,60.348,60.348,84
2016-09-26,60.348,60.348,60.348,60.348,0
2016-09-27,60.27,60.27,60.27,60.27,200
2016-09-28,60.27,60.27,60.27,60.27,0
2016-09-29,60.27,60.27,60.27,60.27,0
2016-09-30,60.27,60.27,60.27,60.27,71
2016-10-03,60.27,60.27,60.27,60.27,2
2016-10-04,60.319,60.319,60.319,60.319,383
2016-10-05,60.319,60.319,60.319,60.319,0
2016-10-06,60.319,60.319,60.319,60.319,0
2016-10-07,60.3293,60.3293,60.15,60.15,800
2016-10-10,60.15,60.15,60.15,60.15,0
2016-10-11,60.15,60.15,60.15,60.15,55
2016-10-12,60.15,60.15,60.15,60.15,0
2016-10-13,60.15,60.15,60.15,60.15,0
2016-10-14,60.15,60.15,60.15,60.15,0
2016-10-17,57.63,57.63,57.63,57.63,101
2016-10-18,57.63,57.63,57.63,57.63,0
2016-10-19,57.63,57.63,57.63,57.63,0
2016-10-20,57.63,57.63,57.63,57.63,0
2016-10-21,57.602,57.602,57.602,57.602,164
2016-10-24,57.602,57.602,57.602,57.602,0
2016-10-25,57.5999,57.5999,57.5999,57.5999,205
2016-10-26,57.5999,57.5999,57.5999,57.5999,0
2016-10-27,57.5999,57.5999,57.5999,57.5999,0
2016-10-28,57.5999,57.5999,57.5999,57.5999,0
2016-10-31,57.5999,57.5999,57.5999,57.5999,0
2016-11-01,58.15,58.15,57.955,57.955,240
2016-11-02,57.955,57.955,57.955,57.955,0
2016-11-03,57.955,57.955,57.955,57.955,0
2016-11-04,57.955,57.955,57.955,57.955,0
2016-11-07,57.955,57.955,57.955,57.955,0
2016-11-08,57.955,57.955,57.955,57.955,0
2016-11-09,57.955,57.955,57.955,57.955,50
2016-11-10,57.955,57.955,57.955,57.955,0
2016-11-11,57.955,57.955,57.955,57.955,0
2016-11-14,61.8527,62.0,61.8527,62.0,410
2016-11-15,62.0,62.0,62.0,62.0,0
2016-11-16,62.64,62.64,62.64,62.64,100
2016-11-17,62.646,62.646,62.646,62.646,200
2016-11-18,62.5,62.5,62.5,62.5,365
2016-11-21,62.7156,62.984,62.7156,62.732,340
2016-11-22,62.732,62.732,62.732,62.732,0
2016-11-23,62.732,62.732,62.732,62.732,15
2016-11-25,62.732,62.732,62.732,62.732,35
2016-11-28,63.21,63.21,62.92,62.92,287
2016-11-29,62.92,62.92,62.92,62.92,37
2016-11-30,62.83,62.83,62.83,62.83,100
2016-12-01,62.83,62.83,62.83,62.83,86
2016-12-02,62.83,62.83,62.83,62.83,199
2016-12-05,62.1101,62.1101,62.1101,62.1101,224
2016-12-06,62.7501,62.7501,62.75,62.75,200
2016-12-07,63.0,63.72,63.0,63.72,750
2016-12-08,65.002,65.002,65.002,65.002,200
2016-12-09,64.91,64.91,64.762,64.762,215
2016-12-12,64.7,64.7,64.7,64.7,627
2016-12-13,64.7,64.7,64.7,64.7,50
2016-12-14,64.6168,64.6168,64.6168,64.6168,200
2016-12-15,64.6168,64.6168,64.6168,64.6168,76
2016-12-16,64.49,64.49,63.55,63.55,700
2016-12-19,63.55,63.55,63.55,63.55,10
2016-12-20,63.7965,63.7965,63.7965,63.7965,396
2016-12-21,64.1277,64.1277,64.1277,64.1277,102
2016-12-22,64.1277,64.1277,64.1277,64.1277,0
2016-12-23,64.1277,64.1277,64.1277,64.1277,0
2016-12-27,64.621,64.621,64.621,64.621,210
2016-12-28,63.6,63.6,63.6,63.6,164
2016-12-29,63.0803,63.0803,63.0803,63.0803,150
2016-12-30,63.1037,63.1037,63.1037,63.1037,102
2017-01-03,63.57,63.57,63.57,63.57,484
2017-01-04,64.2401,64.2401,64.2401,64.2401,287
2017-01-05,64.69,64.69,64.0,64.0,272
2017-01-06,64.4,64.4,64.4,64.4,128
2017-01-09,64.4,64.4,64.4,64.4,1
