,open,high,low,close,volume
2016-06-28,51.13,51.13,50.77,50.77,3000
2016-06-29,51.2,51.2,51.2,51.2,1020
2016-06-30,52.1099,52.1099,52.0923,52.0923,601
2016-07-01,52.0923,52.0923,52.0923,52.0923,1
2016-07-05,52.0923,52.0923,52.0923,52.0923,0
2016-07-06,52.0923,52.0923,52.0923,52.0923,2
2016-07-07,52.0923,52.0923,52.0923,52.0923,20
2016-07-08,54.1799,54.24,54.1799,54.24,205
2016-07-11,54.3999,54.3999,54.3999,54.3999,2140
2016-07-12,54.74,55.07,54.74,55.0337,1025
2016-07-13,55.0337,55.0337,55.0337,55.0337,4
2016-07-14,55.0337,55.0337,55.0337,55.0337,0
2016-07-15,54.6801,54.7163,54.6801,54.7163,446
2016-07-18,54.97,54.97,54.97,54.97,152
2016-07-19,54.97,54.97,54.97,54.97,2
2016-07-20,54.97,54.97,54.97,54.97,76
2016-07-21,55.1399,55.1399,55.1399,55.1399,182
2016-07-22,55.1399,55.1399,55.1399,55.1399,3
2016-07-25,55.1399,55.1399,55.1399,55.1399,0
2016-07-26,56.09,56.09,56.0375,56.0375,587
2016-07-27,55.93,55.93,55.6801,55.7396,536
2016-07-28,55.7396,55.7396,55.7396,55.7396,0
2016-07-29,55.7396,55.7396,55.7396,55.7396,2
2016-08-01,57.16,57.29,56.85,57.29,28610
2016-08-02,57.03,57.03,56.68,57.0,10461
2016-08-03,56.77,57.17,56.77,57.17,756
2016-08-04,57.17,57.17,57.17,57.17,0
2016-08-05,57.17,57.17,57.17,57.17,50
2016-08-08,58.37,58.37,58.37,58.37,374
2016-08-09,58.37,58.37,58.37,58.37,52
2016-08-10,58.37,58.37,58.37,58.37,0
2016-08-11,58.37,58.37,58.37,58.37,16
2016-08-12,58.37,58.37,58.37,58.37,0
2016-08-15,58.37,58.37,58.37,58.37,20
2016-08-16,58.37,58.37,58.37,58.37,7
2016-08-17,58.37,58.37,58.37,58.37,75
2016-08-18,58.37,58.37,58.37,58.37,0
2016-08-19,57.9481,57.96,57.9481,57.96,500
2016-08-22,58.09,58.09,58.02,58.02,220
2016-08-23,58.34,58.67,58.34,58.67,1074
2016-08-24,58.67,58.67,58.67,58.67,166
2016-08-25,58.258,58.258,58.258,58.258,542
2016-08-26,58.14,58.8443,58.14,58.3,1870
2016-08-29,58.5,58.5,58.5,58.5,247
2016-08-30,58.5,58.5,58.5,58.5,0
2016-08-31,58.4961,58.4961,58.4961,58.4961,100
2016-09-01,58.4961,58.4961,58.4961,58.4961,15
2016-09-02,59.7158,59.83,59.61,59.61,655
2016-09-06,60.1799,60.1799,60.1799,60.1799,106
2016-09-07,60.1799,60.1799,60.1799,60.1799,0
2016-09-08,60.0,60.0,59.87,59.87,370
2016-09-09,58.83,58.878,58.31,58.502,1658
2016-09-12,58.9675,58.9899,58.9675,58.97,810
2016-09-13,58.25,58.25,58.25,58.25,220
2016-09-14,58.25,58.25,58.25,58.25,0
2016-09-15,58.25,58.25,58.25,58.25,0
2016-09-16,58.25,58.25,58.25,58.25,0
2016-09-19,58.91,58.91,58.7299,58.7299,300
2016-09-20,58.7299,58.7299,58.7299,58.7299,0
2016-09-21,58.7299,58.7299,58.7299,58.7299,0
2016-09-22,60.0,60.0,60.0,60.0,165
2016-09-23,60.27,60.27,60.1601,60.1999,1320
2016-09-26,59.85,59.85,59.706,59.706,517
2016-09-27,60.5289,60.5289,60.5289,60.5289,200
2016-09-28,60.5289,60.5289,60.5289,60.5289,50
2016-09-29,60.8303,60.8303,60.806,60.806,305
2016-09-30,60.0699,60.4673,60.0699,60.3801,1235
2016-10-03,60.3801,60.3801,60.3801,60.3801,0
2016-10-04,60.71,60.71,60.59,60.59,200
2016-10-05,60.59,60.59,60.59,60.59,0
2016-10-06,59.58,59.91,59.5701,59.646,978
2016-10-07,60.08,60.08,59.915,59.98,490
2016-10-10,60.0164,60.0164,60.0164,60.0164,552
2016-10-11,60.0164,60.0164,60.0164,60.0164,0
2016-10-12,60.0164,60.0164,60.0164,60.0164,1
2016-10-13,58.0,58.4,57.8701,58.4,840
2016-10-14,58.4,58.4,58.4,58.4,3
2016-10-17,58.4,58.4,58.4,58.4,10
2016-10-18,58.4,58.4,58.4,58.4,0
2016-10-19,58.4,58.4,58.4,58.4,0
2016-10-20,58.702,58.702,58.702,58.702,121
2016-10-21,59.18,59.18,59.18,59.18,264
2016-10-24,60.004,60.004,59.9595,59.9595,425
2016-10-25,60.11,60.11,59.72,59.72,275
2016-10-26,59.72,59.72,59.72,59.72,25
2016-10-27,58.72,58.72,58.7199,58.72,700
2016-10-28,58.49,58.49,58.49,58.49,800
2016-10-31,58.4499,58.4499,58.4499,58.4499,333
2016-11-01,57.39,57.4454,57.39,57.4454,795
2016-11-02,56.721,56.721,56.721,56.721,135
2016-11-03,56.721,56.721,56.721,56.721,2
2016-11-04,56.721,56.721,56.721,56.721,0
2016-11-07,56.721,56.721,56.721,56.721,178
2016-11-08,56.8,56.8,56.8,56.8,200
2016-11-09,56.8,56.8,56.8,56.8,0
2016-11-10,56.8,56.8,56.8,56.8,26
2016-11-11,56.8,56.8,56.8,56.8,100
2016-11-14,56.8,56.8,56.8,56.8,2
2016-11-15,56.8,56.8,56.8,56.8,0
2016-11-16,56.8,56.8,56.8,56.8,37
2016-11-17,58.89,58.9699,58.89,58.9699,600
2016-11-18,58.9699,58.9699,58.9699,58.9699,0
2016-11-21,58.9699,58.9699,58.9699,58.9699,0
2016-11-22,59.4915,59.4915,59.4915,59.4915,120
2016-11-23,59.4915,59.4915,59.4915,59.4915,9
2016-11-25,59.7999,59.7999,59.7999,59.7999,252
2016-11-28,59.7999,59.7999,59.7999,59.7999,177
2016-11-29,59.7999,59.7999,59.7999,59.7999,17
2016-11-30,58.7684,58.7684,58.764,58.764,216
2016-12-01,58.52,58.52,56.85,56.96,33188
2016-12-02,57.27,57.27,57.27,57.27,490
2016-12-05,58.3058,58.3058,58.22,58.22,900
2016-12-06,58.22,58.22,58.22,58.22,4
2016-12-07,59.5274,59.5274,59.5274,59.5274,415
2016-12-08,60.2204,60.266,60.2204,60.266,500
2016-12-09,60.266,60.266,60.266,60.266,0
2016-12-12,59.9197,59.9197,59.9197,59.9197,200
2016-12-13,60.19,60.19,60.19,60.19,101
2016-12-14,59.6699,59.67,59.6699,59.67,287
2016-12-15,59.67,59.67,59.67,59.67,50
2016-12-16,58.61,58.61,58.61,58.61,900
2016-12-19,58.61,58.61,58.61,58.61,0
2016-12-20,58.61,58.61,58.61,58.61,85
2016-12-21,58.61,58.61,58.61,58.61,2
2016-12-22,58.61,58.61,58.61,58.61,0
2016-12-23,57.6838,57.6838,57.6838,57.6838,100
2016-12-27,57.6838,57.6838,57.6838,57.6838,2
2016-12-28,57.71,57.71,57.71,57.71,175
2016-12-29,57.71,57.71,57.71,57.71,0
2016-12-30,57.71,57.71,57.71,57.71,0
2017-01-03,57.71,57.71,57.71,57.71,0
2017-01-04,57.71,57.71,57.71,57.71,0
2017-01-05,57.71,57.71,57.71,57.71,0
2017-01-06,57.71,57.71,57.71,57.71,95
2017-01-09,57.71,57.71,57.71,57.71,80
2017-01-10,57.71,57.71,57.71,57.71,11
2017-01-11,59.69,59.69,59.69,59.69,252
2017-01-12,59.69,59.69,59.69,59.69,0
2017-01-13,59.69,59.69,59.69,59.69,0
2017-01-17,59.69,59.69,59.69,59.69,81
2017-01-18,59.69,59.69,59.69,59.69,50
2017-01-19,59.69,59.69,59.69,59.69,0
2017-01-20,59.69,59.69,59.69,59.69,0
2017-01-23,59.69,59.69,59.69,59.69,2
2017-01-24,59.69,59.69,59.69,59.69,1
2017-01-25,61.4588,61.4588,61.4588,61.4588,200
2017-01-26,61.28,61.29,61.28,61.29,12000
2017-01-27,61.01,61.01,61.01,61.01,44000
2017-01-30,60.23,60.33,60.23,60.3299,6602
2017-01-31,60.3299,60.3299,60.3299,60.3299,0
2017-02-01,60.6488,60.6488,60.6488,60.6488,224
2017-02-02,60.6488,60.6488,60.6488,60.6488,74
2017-02-03,60.6488,60.6488,60.6488,60.6488,189
2017-02-06,60.6488,60.6488,60.6488,60.6488,50
2017-02-07,60.67,60.67,60.5737,60.5737,797
2017-02-08,60.1499,60.1499,60.05,60.05,375
2017-02-09,60.5499,60.5499,60.5499,60.5499,100
2017-02-10,60.5499,60.5499,60.5499,60.5499,74
2017-02-13,60.5405,60.5405,60.5405,60.5405,133
2017-02-14,60.53,60.53,60.53,60.53,104
2017-02-15,61.07,61.07,61.07,61.07,174
2017-02-16,61.07,61.07,61.07,61.07,7
2017-02-17,61.12,61.12,60.8716,60.8716,231
2017-02-21,60.8716,60.8716,60.8716,60.8716,2
2017-02-22,60.8716,60.8716,60.8716,60.8716,16
2017-02-23,60.548,60.548,60.548,60.548,835
2017-02-24,60.0,60.0,60.0,60.0,175
2017-02-27,60.36,60.36,60.36,60.36,142
2017-02-28,60.36,60.36,60.36,60.36,10
2017-03-01,59.97,59.97,59.97,59.97,319
2017-03-02,59.97,59.97,59.97,59.97,0
2017-03-03,59.73,59.73,59.31,59.57,825
2017-03-06,59.57,59.57,59.57,59.57,1
2017-03-07,59.43,59.43,59.3825,59.3825,3403
2017-03-08,59.39,59.39,59.39,59.39,127
2017-03-09,59.39,59.39,59.39,59.39,8
2017-03-10,59.81,59.81,59.81,59.81,100
2017-03-13,59.81,59.81,59.81,59.81,0
2017-03-14,59.81,59.81,59.81,59.81,30
2017-03-15,59.81,59.81,59.81,59.81,0
2017-03-16,59.81,59.81,59.81,59.81,0
2017-03-17,59.81,59.81,59.81,59.81,0
2017-03-20,60.5311,60.5311,60.5311,60.5311,150
2017-03-21,60.5311,60.5311,60.5311,60.5311,65
2017-03-22,59.28,59.28,59.28,59.28,215
2017-03-23,59.28,59.28,59.28,59.28,0
2017-03-24,59.03,59.03,59.03,59.03,192
2017-03-27,59.03,59.03,59.03,59.03,0
2017-03-28,59.03,59.03,59.03,59.03,0
2017-03-29,59.7299,59.7299,59.7299,59.7299,100
2017-03-30,59.7299,59.7299,59.7299,59.7299,6
2017-03-31,59.7299,59.7299,59.7299,59.7299,81
2017-04-03,59.7299,59.7299,59.7299,59.7299,0
2017-04-04,59.7299,59.7299,59.7299,59.7299,14
2017-04-05,59.7299,59.7299,59.7299,59.7299,41
2017-04-06,59.7299,59.7299,59.7299,59.7299,0
2017-04-07,59.7299,59.7299,59.7299,59.7299,83
2017-04-10,60.07,60.07,60.07,60.07,110
2017-04-11,60.07,60.07,60.07,60.07,148
2017-04-12,60.332,60.332,60.332,60.332,446
2017-04-13,60.332,60.332,60.332,60.332,57
2017-04-17,60.332,60.332,60.332,60.332,68
2017-04-18,60.332,60.332,60.332,60.332,55
